libelle_section_naf,montant,nombre,reg,color,montant_fr,nombre_fr
Construction,3722304.00,201.00,24,#42A5F5,"3,7 M€",201 aides
"Activités spécialisées, scientifiques et techniques",2940669.00,165.00,24,#FFA726,"2,9 M€",165 aides
Hébergement et restauration,1942226.00,279.00,24,#26A69A,"1,9 M€",279 aides
Transports et entreposage,1809368.00,83.00,24,#26C6DA,"1,8 M€",83 aides
Activités financières et d'assurance,1779409.00,103.00,24,#9CCC65,"1,8 M€",103 aides
Activités immobilières,1463551.00,191.00,24,#FFCA28,"1,5 M€",191 aides
"Arts, spectacles et activités récréatives",1220396.00,24.00,24,#8E24AA,"1,2 M€",24 aides
Autres sections NAF,3440386.00,232.00,24,#AAAAAA,"3,4 M€",232 aides
Commerce,125261345.00,1172.00,32,#29B6F6,"125,3 M€",1 172 aides
Industrie manufacturière,71515838.00,451.00,32,#AB47BC,"71,5 M€",451 aides
Construction,43762335.00,475.00,32,#42A5F5,"43,8 M€",475 aides
"Activités spécialisées, scientifiques et techniques",11612063.00,456.00,32,#FFA726,"11,6 M€",456 aides
Activités de services administratifs et de soutien,9225483.00,197.00,32,#FF7043,"9,2 M€",197 aides
Transports et entreposage,7095751.00,173.00,32,#26C6DA,"7,1 M€",173 aides
Information et communication,6669988.00,119.00,32,#66BB6A,"6,7 M€",119 aides
Hébergement et restauration,6364408.00,662.00,32,#26A69A,"6,4 M€",662 aides
Activités immobilières,5259389.00,360.00,32,#FFCA28,"5,3 M€",360 aides
Santé humaine et action sociale,5139469.00,179.00,32,#E53935,"5,1 M€",179 aides
Autres sections NAF,13281312.00,678.00,32,#AAAAAA,"13,3 M€",678 aides
Commerce,3251122.00,51.00,02,#29B6F6,"3,3 M€",51 aides
Transports et entreposage,2018537.00,9.00,02,#26C6DA,"2,0 M€",9 aides
Industrie manufacturière,609175.00,12.00,02,#AB47BC,"0,6 M€",12 aides
Activités financières et d'assurance,528072.00,9.00,02,#9CCC65,"0,5 M€",9 aides
Activités immobilières,481944.00,16.00,02,#FFCA28,"0,5 M€",16 aides
Non connu,397050.00,7.00,02,#AAAAAA,"0,4 M€",7 aides
Santé humaine et action sociale,358224.00,7.00,02,#E53935,"0,4 M€",7 aides
Activités de services administratifs et de soutien,310517.00,6.00,02,#FF7043,"0,3 M€",6 aides
"Arts, spectacles et activités récréatives",242076.00,4.00,02,#8E24AA,"0,2 M€",4 aides
Construction,207255.00,13.00,02,#42A5F5,"0,2 M€",13 aides
Autres sections NAF,312074.00,38.00,02,#AAAAAA,"0,3 M€",38 aides
