libelle_section_naf,montant,nombre,reg,color,montant_fr,nombre_fr
Industrie manufacturière,76599797.00,554.00,32,#AB47BC,"76,6 M€",554 aides
Construction,44062950.00,542.00,32,#42A5F5,"44,1 M€",542 aides
Activités de services administratifs et de soutien,12413831.00,230.00,32,#FF7043,"12,4 M€",230 aides
"Activités spécialisées, scientifiques et techniques",11779781.00,514.00,32,#FFA726,"11,8 M€",514 aides
Transports et entreposage,9891516.00,206.00,32,#26C6DA,"9,9 M€",206 aides
Hébergement et restauration,8135202.00,992.00,32,#26A69A,"8,1 M€",992 aides
Information et communication,6749576.00,138.00,32,#66BB6A,"6,7 M€",138 aides
Activités immobilières,5513824.00,386.00,32,#FFCA28,"5,5 M€",386 aides
Santé humaine et action sociale,5189700.00,184.00,32,#E53935,"5,2 M€",184 aides
Autres sections NAF,15059592.00,918.00,32,#AAAAAA,"15,1 M€",918 aides
Commerce,3313107.00,74.00,02,#29B6F6,"3,3 M€",74 aides
Transports et entreposage,2519924.00,14.00,02,#26C6DA,"2,5 M€",14 aides
Industrie manufacturière,652346.00,26.00,02,#AB47BC,"0,7 M€",26 aides
Activités financières et d'assurance,580893.00,11.00,02,#9CCC65,"0,6 M€",11 aides
Activités immobilières,518147.00,21.00,02,#FFCA28,"0,5 M€",21 aides
Santé humaine et action sociale,363149.00,9.00,02,#E53935,"0,4 M€",9 aides
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",351750.00,3.00,02,#7E57C2,"0,4 M€",3 aides
Activités de services administratifs et de soutien,351432.00,23.00,02,#FF7043,"0,4 M€",23 aides
Hébergement et restauration,261710.00,27.00,02,#26A69A,"0,3 M€",27 aides
Construction,235740.00,19.00,02,#42A5F5,"0,2 M€",19 aides
Autres sections NAF,572407.00,73.00,02,#AAAAAA,"0,6 M€",73 aides
Commerce,91424104.00,2514.00,84,#29B6F6,"91,4 M€",2 514 aides
Industrie manufacturière,77290640.00,1102.00,84,#AB47BC,"77,3 M€",1 102 aides
"Activités spécialisées, scientifiques et techniques",49218696.00,1150.00,84,#FFA726,"49,2 M€",1 150 aides
Construction,25638236.00,1036.00,84,#42A5F5,"25,6 M€",1 036 aides
Hébergement et restauration,20898291.00,1873.00,84,#26A69A,"20,9 M€",1 873 aides
Activités financières et d'assurance,19981441.00,470.00,84,#9CCC65,"20,0 M€",470 aides
Activités de services administratifs et de soutien,15213865.00,459.00,84,#FF7043,"15,2 M€",459 aides
"Arts, spectacles et activités récréatives",15045845.00,254.00,84,#8E24AA,"15,0 M€",254 aides
Information et communication,13758270.00,279.00,84,#66BB6A,"13,8 M€",279 aides
Activités immobilières,13660840.00,830.00,84,#FFCA28,"13,7 M€",830 aides
Autres sections NAF,33570578.00,1299.00,84,#AAAAAA,"33,6 M€",1 299 aides
