libelle_section_naf,montant,nombre,dep,color,montant_fr,nombre_fr
Construction,1446128.00,59.00,79,#42A5F5,"1,4 M€",59 aides
Activités financières et d'assurance,369162.00,16.00,79,#9CCC65,"0,4 M€",16 aides
Transports et entreposage,300317.00,15.00,79,#26C6DA,"0,3 M€",15 aides
"Activités spécialisées, scientifiques et techniques",272808.00,29.00,79,#FFA726,"0,3 M€",29 aides
Information et communication,253910.00,6.00,79,#66BB6A,"0,3 M€",6 aides
Hébergement et restauration,248533.00,57.00,79,#26A69A,"0,2 M€",57 aides
Activités immobilières,223380.00,21.00,79,#FFCA28,"0,2 M€",21 aides
Autres sections NAF,406311.00,60.00,79,#AAAAAA,"0,4 M€",60 aides
Non connu,2735539.00,10.00,971,#AAAAAA,"2,7 M€",10 aides
Commerce,1842907.00,40.00,971,#29B6F6,"1,8 M€",40 aides
Information et communication,1567427.00,6.00,971,#66BB6A,"1,6 M€",6 aides
Activités immobilières,603209.00,7.00,971,#FFCA28,"0,6 M€",7 aides
Santé humaine et action sociale,486352.00,8.00,971,#E53935,"0,5 M€",8 aides
Construction,202450.00,10.00,971,#42A5F5,"0,2 M€",10 aides
Industrie manufacturière,163294.00,13.00,971,#AB47BC,"0,2 M€",13 aides
Activités de services administratifs et de soutien,149922.00,14.00,971,#FF7043,"0,1 M€",14 aides
"Activités spécialisées, scientifiques et techniques",78210.00,8.00,971,#FFA726,"0,1 M€",8 aides
Hébergement et restauration,55586.00,14.00,971,#26A69A,"0,1 M€",14 aides
Autres sections NAF,60600.00,8.00,971,#AAAAAA,"0,1 M€",8 aides
Commerce,28709848.00,311.00,93,#29B6F6,"28,7 M€",311 aides
Hébergement et restauration,6119223.00,176.00,93,#26A69A,"6,1 M€",176 aides
"Activités spécialisées, scientifiques et techniques",5933949.00,130.00,93,#FFA726,"5,9 M€",130 aides
Information et communication,3614515.00,72.00,93,#66BB6A,"3,6 M€",72 aides
Industrie manufacturière,3474846.00,87.00,93,#AB47BC,"3,5 M€",87 aides
Construction,3115953.00,185.00,93,#42A5F5,"3,1 M€",185 aides
Activités financières et d'assurance,2679623.00,21.00,93,#9CCC65,"2,7 M€",21 aides
Activités de services administratifs et de soutien,2591186.00,127.00,93,#FF7043,"2,6 M€",127 aides
"Arts, spectacles et activités récréatives",1454991.00,39.00,93,#8E24AA,"1,5 M€",39 aides
Transports et entreposage,1220890.00,133.00,93,#26C6DA,"1,2 M€",133 aides
Autres sections NAF,2351039.00,164.00,93,#AAAAAA,"2,4 M€",164 aides
Commerce,11807367.00,407.00,34,#29B6F6,"11,8 M€",407 aides
Activités immobilières,4213268.00,162.00,34,#FFCA28,"4,2 M€",162 aides
Industrie manufacturière,4072382.00,86.00,34,#AB47BC,"4,1 M€",86 aides
Hébergement et restauration,3132823.00,307.00,34,#26A69A,"3,1 M€",307 aides
Activités de services administratifs et de soutien,2860499.00,81.00,34,#FF7043,"2,9 M€",81 aides
Activités financières et d'assurance,2776863.00,56.00,34,#9CCC65,"2,8 M€",56 aides
Construction,2724541.00,175.00,34,#42A5F5,"2,7 M€",175 aides
"Activités spécialisées, scientifiques et techniques",2329105.00,124.00,34,#FFA726,"2,3 M€",124 aides
Autres activités de services,1043493.00,73.00,34,#5E35B1,"1,0 M€",73 aides
Information et communication,909777.00,44.00,34,#66BB6A,"0,9 M€",44 aides
Autres sections NAF,2594004.00,163.00,34,#AAAAAA,"2,6 M€",163 aides
Commerce,5573644.00,201.00,30,#29B6F6,"5,6 M€",201 aides
"Arts, spectacles et activités récréatives",2043592.00,25.00,30,#8E24AA,"2,0 M€",25 aides
Hébergement et restauration,1149347.00,117.00,30,#26A69A,"1,1 M€",117 aides
Industrie manufacturière,991256.00,62.00,30,#AB47BC,"1,0 M€",62 aides
Activités financières et d'assurance,857948.00,26.00,30,#9CCC65,"0,9 M€",26 aides
Transports et entreposage,831906.00,22.00,30,#26C6DA,"0,8 M€",22 aides
"Activités spécialisées, scientifiques et techniques",694242.00,60.00,30,#FFA726,"0,7 M€",60 aides
Construction,664608.00,85.00,30,#42A5F5,"0,7 M€",85 aides
Activités immobilières,429504.00,57.00,30,#FFCA28,"0,4 M€",57 aides
Santé humaine et action sociale,326904.00,22.00,30,#E53935,"0,3 M€",22 aides
Autres sections NAF,719367.00,82.00,30,#AAAAAA,"0,7 M€",82 aides
Commerce,11022235.00,546.00,13,#29B6F6,"11,0 M€",546 aides
"Activités spécialisées, scientifiques et techniques",9001845.00,232.00,13,#FFA726,"9,0 M€",232 aides
Hébergement et restauration,6500160.00,435.00,13,#26A69A,"6,5 M€",435 aides
Industrie manufacturière,6261975.00,156.00,13,#AB47BC,"6,3 M€",156 aides
Activités de services administratifs et de soutien,4936015.00,117.00,13,#FF7043,"4,9 M€",117 aides
Construction,3808771.00,218.00,13,#42A5F5,"3,8 M€",218 aides
Santé humaine et action sociale,3256843.00,113.00,13,#E53935,"3,3 M€",113 aides
"Arts, spectacles et activités récréatives",2679259.00,73.00,13,#8E24AA,"2,7 M€",73 aides
Information et communication,2174192.00,55.00,13,#66BB6A,"2,2 M€",55 aides
Transports et entreposage,1946825.00,85.00,13,#26C6DA,"1,9 M€",85 aides
Autres sections NAF,4193968.00,388.00,13,#AAAAAA,"4,2 M€",388 aides
Industrie manufacturière,22047986.00,94.00,94,#AB47BC,"22,0 M€",94 aides
Commerce,14197955.00,381.00,94,#29B6F6,"14,2 M€",381 aides
Construction,6066602.00,185.00,94,#42A5F5,"6,1 M€",185 aides
Information et communication,4863735.00,80.00,94,#66BB6A,"4,9 M€",80 aides
"Activités spécialisées, scientifiques et techniques",3924835.00,186.00,94,#FFA726,"3,9 M€",186 aides
Activités de services administratifs et de soutien,3288570.00,85.00,94,#FF7043,"3,3 M€",85 aides
Hébergement et restauration,2721070.00,263.00,94,#26A69A,"2,7 M€",263 aides
Activités immobilières,1607923.00,76.00,94,#FFCA28,"1,6 M€",76 aides
Activités financières et d'assurance,1574290.00,52.00,94,#9CCC65,"1,6 M€",52 aides
Santé humaine et action sociale,1335261.00,60.00,94,#E53935,"1,3 M€",60 aides
Autres sections NAF,3369142.00,333.00,94,#AAAAAA,"3,4 M€",333 aides
Construction,1486835.00,46.00,12,#42A5F5,"1,5 M€",46 aides
Commerce,1391349.00,96.00,12,#29B6F6,"1,4 M€",96 aides
Industrie manufacturière,1163526.00,53.00,12,#AB47BC,"1,2 M€",53 aides
"Activités spécialisées, scientifiques et techniques",603533.00,25.00,12,#FFA726,"0,6 M€",25 aides
Enseignement,363018.00,10.00,12,#00897B,"0,4 M€",10 aides
Hébergement et restauration,308716.00,43.00,12,#26A69A,"0,3 M€",43 aides
Activités financières et d'assurance,270278.00,15.00,12,#9CCC65,"0,3 M€",15 aides
Transports et entreposage,160123.00,9.00,12,#26C6DA,"0,2 M€",9 aides
Activités immobilières,100877.00,21.00,12,#FFCA28,"0,1 M€",21 aides
Activités de services administratifs et de soutien,90757.00,19.00,12,#FF7043,"0,1 M€",19 aides
Autres sections NAF,268531.00,49.00,12,#AAAAAA,"0,3 M€",49 aides
Industrie manufacturière,2473592.00,53.00,87,#AB47BC,"2,5 M€",53 aides
Santé humaine et action sociale,2194359.00,14.00,87,#E53935,"2,2 M€",14 aides
Commerce,2130123.00,97.00,87,#29B6F6,"2,1 M€",97 aides
Construction,672280.00,28.00,87,#42A5F5,"0,7 M€",28 aides
"Activités spécialisées, scientifiques et techniques",527072.00,26.00,87,#FFA726,"0,5 M€",26 aides
Transports et entreposage,522920.00,13.00,87,#26C6DA,"0,5 M€",13 aides
Activités de services administratifs et de soutien,414152.00,19.00,87,#FF7043,"0,4 M€",19 aides
Hébergement et restauration,263808.00,55.00,87,#26A69A,"0,3 M€",55 aides
Activités immobilières,243966.00,37.00,87,#FFCA28,"0,2 M€",37 aides
Activités financières et d'assurance,184492.00,18.00,87,#9CCC65,"0,2 M€",18 aides
Autres sections NAF,344495.00,46.00,87,#AAAAAA,"0,3 M€",46 aides
Commerce,12028693.00,292.00,91,#29B6F6,"12,0 M€",292 aides
Industrie manufacturière,9042403.00,85.00,91,#AB47BC,"9,0 M€",85 aides
Construction,7638260.00,159.00,91,#42A5F5,"7,6 M€",159 aides
"Activités spécialisées, scientifiques et techniques",4618271.00,149.00,91,#FFA726,"4,6 M€",149 aides
Transports et entreposage,3510507.00,95.00,91,#26C6DA,"3,5 M€",95 aides
Activités financières et d'assurance,3279670.00,35.00,91,#9CCC65,"3,3 M€",35 aides
"Arts, spectacles et activités récréatives",2398329.00,56.00,91,#8E24AA,"2,4 M€",56 aides
Activités de services administratifs et de soutien,1788104.00,78.00,91,#FF7043,"1,8 M€",78 aides
Hébergement et restauration,1364324.00,165.00,91,#26A69A,"1,4 M€",165 aides
Activités immobilières,1146655.00,94.00,91,#FFCA28,"1,1 M€",94 aides
Autres sections NAF,1860153.00,173.00,91,#AAAAAA,"1,9 M€",173 aides
Industrie manufacturière,6709559.00,64.00,88,#AB47BC,"6,7 M€",64 aides
Transports et entreposage,2482915.00,10.00,88,#26C6DA,"2,5 M€",10 aides
Commerce,2460168.00,100.00,88,#29B6F6,"2,5 M€",100 aides
Construction,638453.00,40.00,88,#42A5F5,"0,6 M€",40 aides
Activités de services administratifs et de soutien,598174.00,14.00,88,#FF7043,"0,6 M€",14 aides
Activités immobilières,528815.00,34.00,88,#FFCA28,"0,5 M€",34 aides
Hébergement et restauration,489860.00,55.00,88,#26A69A,"0,5 M€",55 aides
Santé humaine et action sociale,190180.00,10.00,88,#E53935,"0,2 M€",10 aides
"Activités spécialisées, scientifiques et techniques",171605.00,21.00,88,#FFA726,"0,2 M€",21 aides
"Arts, spectacles et activités récréatives",168827.00,12.00,88,#8E24AA,"0,2 M€",12 aides
Autres sections NAF,413693.00,45.00,88,#AAAAAA,"0,4 M€",45 aides
Industrie manufacturière,3718181.00,50.00,50,#AB47BC,"3,7 M€",50 aides
Commerce,2606931.00,146.00,50,#29B6F6,"2,6 M€",146 aides
Construction,774858.00,43.00,50,#42A5F5,"0,8 M€",43 aides
"Activités spécialisées, scientifiques et techniques",731364.00,33.00,50,#FFA726,"0,7 M€",33 aides
Hébergement et restauration,719539.00,83.00,50,#26A69A,"0,7 M€",83 aides
Transports et entreposage,577865.00,18.00,50,#26C6DA,"0,6 M€",18 aides
Activités immobilières,490628.00,46.00,50,#FFCA28,"0,5 M€",46 aides
Santé humaine et action sociale,444561.00,15.00,50,#E53935,"0,4 M€",15 aides
"Arts, spectacles et activités récréatives",433361.00,17.00,50,#8E24AA,"0,4 M€",17 aides
Activités de services administratifs et de soutien,131144.00,12.00,50,#FF7043,"0,1 M€",12 aides
Autres sections NAF,237007.00,40.00,50,#AAAAAA,"0,2 M€",40 aides
Commerce,74468106.00,359.00,77,#29B6F6,"74,5 M€",359 aides
Industrie manufacturière,7429345.00,105.00,77,#AB47BC,"7,4 M€",105 aides
Construction,4679342.00,198.00,77,#42A5F5,"4,7 M€",198 aides
Activités financières et d'assurance,3522991.00,43.00,77,#9CCC65,"3,5 M€",43 aides
Activités immobilières,3368615.00,75.00,77,#FFCA28,"3,4 M€",75 aides
Santé humaine et action sociale,3258416.00,43.00,77,#E53935,"3,3 M€",43 aides
Activités de services administratifs et de soutien,2813383.00,86.00,77,#FF7043,"2,8 M€",86 aides
"Activités spécialisées, scientifiques et techniques",2466496.00,146.00,77,#FFA726,"2,5 M€",146 aides
Hébergement et restauration,2238770.00,192.00,77,#26A69A,"2,2 M€",192 aides
Transports et entreposage,1802089.00,86.00,77,#26C6DA,"1,8 M€",86 aides
Autres sections NAF,5145904.00,203.00,77,#AAAAAA,"5,1 M€",203 aides
Activités de services administratifs et de soutien,7544194.00,36.00,95,#FF7043,"7,5 M€",36 aides
Commerce,6226605.00,155.00,95,#29B6F6,"6,2 M€",155 aides
Construction,3699116.00,101.00,95,#42A5F5,"3,7 M€",101 aides
Industrie manufacturière,3082134.00,62.00,95,#AB47BC,"3,1 M€",62 aides
Transports et entreposage,1959011.00,78.00,95,#26C6DA,"2,0 M€",78 aides
"Activités spécialisées, scientifiques et techniques",1686448.00,53.00,95,#FFA726,"1,7 M€",53 aides
"Arts, spectacles et activités récréatives",963425.00,15.00,95,#8E24AA,"1,0 M€",15 aides
Hébergement et restauration,843796.00,72.00,95,#26A69A,"0,8 M€",72 aides
Santé humaine et action sociale,527261.00,26.00,95,#E53935,"0,5 M€",26 aides
Activités immobilières,491517.00,38.00,95,#FFCA28,"0,5 M€",38 aides
Autres sections NAF,1067847.00,105.00,95,#AAAAAA,"1,1 M€",105 aides
Industrie manufacturière,4351231.00,25.00,32,#AB47BC,"4,4 M€",25 aides
Commerce,1627211.00,50.00,32,#29B6F6,"1,6 M€",50 aides
Construction,389660.00,18.00,32,#42A5F5,"0,4 M€",18 aides
Activités financières et d'assurance,376432.00,6.00,32,#9CCC65,"0,4 M€",6 aides
Information et communication,239087.00,7.00,32,#66BB6A,"0,2 M€",7 aides
Hébergement et restauration,175330.00,37.00,32,#26A69A,"0,2 M€",37 aides
Transports et entreposage,145498.00,4.00,32,#26C6DA,"0,1 M€",4 aides
"Activités spécialisées, scientifiques et techniques",126853.00,7.00,32,#FFA726,"0,1 M€",7 aides
"Agriculture, sylviculture et pêche",80481.00,3.00,32,#EF5350,"0,1 M€",3 aides
Santé humaine et action sociale,73063.00,4.00,32,#E53935,"0,1 M€",4 aides
Autres sections NAF,109412.00,35.00,32,#AAAAAA,"0,1 M€",35 aides
Activités financières et d'assurance,3273719.00,5.00,04,#9CCC65,"3,3 M€",5 aides
Activités de services administratifs et de soutien,1051056.00,101.00,04,#FF7043,"1,1 M€",101 aides
Commerce,311682.00,50.00,04,#29B6F6,"0,3 M€",50 aides
Construction,213176.00,14.00,04,#42A5F5,"0,2 M€",14 aides
Hébergement et restauration,193042.00,59.00,04,#26A69A,"0,2 M€",59 aides
Activités immobilières,187747.00,9.00,04,#FFCA28,"0,2 M€",9 aides
"Activités spécialisées, scientifiques et techniques",182956.00,13.00,04,#FFA726,"0,2 M€",13 aides
Industrie manufacturière,164565.00,17.00,04,#AB47BC,"0,2 M€",17 aides
Santé humaine et action sociale,130166.00,6.00,04,#E53935,"0,1 M€",6 aides
Transports et entreposage,39925.00,5.00,04,#26C6DA,"0,0 M€",5 aides
Autres sections NAF,58258.00,17.00,04,#AAAAAA,"0,1 M€",17 aides
Industrie manufacturière,23225860.00,119.00,62,#AB47BC,"23,2 M€",119 aides
Commerce,5107113.00,341.00,62,#29B6F6,"5,1 M€",341 aides
Construction,4051593.00,122.00,62,#42A5F5,"4,1 M€",122 aides
Hébergement et restauration,1591609.00,232.00,62,#26A69A,"1,6 M€",232 aides
"Prod./dist. eau, assainissement, déchets, dépollution",1243768.00,10.00,62,#5C6BC0,"1,2 M€",10 aides
"Arts, spectacles et activités récréatives",1228157.00,26.00,62,#8E24AA,"1,2 M€",26 aides
"Activités spécialisées, scientifiques et techniques",1135813.00,76.00,62,#FFA726,"1,1 M€",76 aides
Activités financières et d'assurance,1071288.00,43.00,62,#9CCC65,"1,1 M€",43 aides
Activités immobilières,779227.00,88.00,62,#FFCA28,"0,8 M€",88 aides
Santé humaine et action sociale,669808.00,42.00,62,#E53935,"0,7 M€",42 aides
Autres sections NAF,2312982.00,196.00,62,#AAAAAA,"2,3 M€",196 aides
Activités de services administratifs et de soutien,961926.00,6.00,36,#FF7043,"1,0 M€",6 aides
Industrie manufacturière,873181.00,20.00,36,#AB47BC,"0,9 M€",20 aides
Commerce,635844.00,48.00,36,#29B6F6,"0,6 M€",48 aides
Transports et entreposage,385489.00,3.00,36,#26C6DA,"0,4 M€",3 aides
Activités financières et d'assurance,174909.00,6.00,36,#9CCC65,"0,2 M€",6 aides
Hébergement et restauration,158374.00,29.00,36,#26A69A,"0,2 M€",29 aides
"Activités spécialisées, scientifiques et techniques",156640.00,10.00,36,#FFA726,"0,2 M€",10 aides
Construction,129492.00,10.00,36,#42A5F5,"0,1 M€",10 aides
Activités immobilières,73827.00,14.00,36,#FFCA28,"0,1 M€",14 aides
Non connu,34006.00,6.00,36,#AAAAAA,"0,0 M€",6 aides
Autres sections NAF,17002.00,7.00,36,#AAAAAA,"0,0 M€",7 aides
Industrie manufacturière,5621156.00,57.00,03,#AB47BC,"5,6 M€",57 aides
Autres activités de services,1423882.00,16.00,03,#5E35B1,"1,4 M€",16 aides
Construction,760498.00,32.00,03,#42A5F5,"0,8 M€",32 aides
Commerce,618839.00,82.00,03,#29B6F6,"0,6 M€",82 aides
"Arts, spectacles et activités récréatives",515061.00,7.00,03,#8E24AA,"0,5 M€",7 aides
Santé humaine et action sociale,406816.00,11.00,03,#E53935,"0,4 M€",11 aides
Hébergement et restauration,400682.00,60.00,03,#26A69A,"0,4 M€",60 aides
Information et communication,365905.00,7.00,03,#66BB6A,"0,4 M€",7 aides
Activités immobilières,263575.00,28.00,03,#FFCA28,"0,3 M€",28 aides
"Activités spécialisées, scientifiques et techniques",233643.00,19.00,03,#FFA726,"0,2 M€",19 aides
Autres sections NAF,312452.00,40.00,03,#AAAAAA,"0,3 M€",40 aides
Commerce,6227921.00,151.00,60,#29B6F6,"6,2 M€",151 aides
Industrie manufacturière,6210159.00,47.00,60,#AB47BC,"6,2 M€",47 aides
Information et communication,1808460.00,13.00,60,#66BB6A,"1,8 M€",13 aides
Construction,1591415.00,70.00,60,#42A5F5,"1,6 M€",70 aides
"Activités spécialisées, scientifiques et techniques",1080374.00,54.00,60,#FFA726,"1,1 M€",54 aides
Activités immobilières,1010618.00,47.00,60,#FFCA28,"1,0 M€",47 aides
Activités de services administratifs et de soutien,740377.00,22.00,60,#FF7043,"0,7 M€",22 aides
Hébergement et restauration,684177.00,92.00,60,#26A69A,"0,7 M€",92 aides
Transports et entreposage,581996.00,38.00,60,#26C6DA,"0,6 M€",38 aides
"Arts, spectacles et activités récréatives",423610.00,16.00,60,#8E24AA,"0,4 M€",16 aides
Autres sections NAF,700860.00,112.00,60,#AAAAAA,"0,7 M€",112 aides
Industrie manufacturière,5957732.00,75.00,51,#AB47BC,"6,0 M€",75 aides
Commerce,5451863.00,196.00,51,#29B6F6,"5,5 M€",196 aides
"Activités spécialisées, scientifiques et techniques",1998110.00,87.00,51,#FFA726,"2,0 M€",87 aides
"Agriculture, sylviculture et pêche",1708395.00,68.00,51,#EF5350,"1,7 M€",68 aides
Hébergement et restauration,1546129.00,143.00,51,#26A69A,"1,5 M€",143 aides
Construction,1438710.00,86.00,51,#42A5F5,"1,4 M€",86 aides
Activités financières et d'assurance,1001096.00,33.00,51,#9CCC65,"1,0 M€",33 aides
Activités de services administratifs et de soutien,830117.00,36.00,51,#FF7043,"0,8 M€",36 aides
Santé humaine et action sociale,788411.00,19.00,51,#E53935,"0,8 M€",19 aides
Transports et entreposage,654719.00,26.00,51,#26C6DA,"0,7 M€",26 aides
Autres sections NAF,1360452.00,156.00,51,#AAAAAA,"1,4 M€",156 aides
Industrie manufacturière,6501700.00,59.00,39,#AB47BC,"6,5 M€",59 aides
"Arts, spectacles et activités récréatives",1534917.00,8.00,39,#8E24AA,"1,5 M€",8 aides
Commerce,468660.00,76.00,39,#29B6F6,"0,5 M€",76 aides
Hébergement et restauration,448435.00,66.00,39,#26A69A,"0,4 M€",66 aides
Santé humaine et action sociale,366443.00,11.00,39,#E53935,"0,4 M€",11 aides
Activités financières et d'assurance,314548.00,7.00,39,#9CCC65,"0,3 M€",7 aides
"Activités spécialisées, scientifiques et techniques",313327.00,28.00,39,#FFA726,"0,3 M€",28 aides
Activités immobilières,244845.00,19.00,39,#FFCA28,"0,2 M€",19 aides
Construction,214421.00,22.00,39,#42A5F5,"0,2 M€",22 aides
"Agriculture, sylviculture et pêche",94571.00,7.00,39,#EF5350,"0,1 M€",7 aides
Autres sections NAF,149726.00,32.00,39,#AAAAAA,"0,1 M€",32 aides
Commerce,2015295.00,65.00,11,#29B6F6,"2,0 M€",65 aides
Hébergement et restauration,722476.00,45.00,11,#26A69A,"0,7 M€",45 aides
Construction,613630.00,19.00,11,#42A5F5,"0,6 M€",19 aides
Industries extractives,553419.00,4.00,11,#EC407A,"0,6 M€",4 aides
Industrie manufacturière,326723.00,14.00,11,#AB47BC,"0,3 M€",14 aides
Activités immobilières,257169.00,17.00,11,#FFCA28,"0,3 M€",17 aides
"Agriculture, sylviculture et pêche",223500.00,8.00,11,#EF5350,"0,2 M€",8 aides
"Activités spécialisées, scientifiques et techniques",208435.00,12.00,11,#FFA726,"0,2 M€",12 aides
Activités de services administratifs et de soutien,193189.00,11.00,11,#FF7043,"0,2 M€",11 aides
Activités financières et d'assurance,158564.00,9.00,11,#9CCC65,"0,2 M€",9 aides
Autres sections NAF,323336.00,46.00,11,#AAAAAA,"0,3 M€",46 aides
Commerce,5565572.00,177.00,49,#29B6F6,"5,6 M€",177 aides
Industrie manufacturière,4903367.00,111.00,49,#AB47BC,"4,9 M€",111 aides
Construction,1171936.00,67.00,49,#42A5F5,"1,2 M€",67 aides
Santé humaine et action sociale,1171145.00,29.00,49,#E53935,"1,2 M€",29 aides
Hébergement et restauration,1040596.00,93.00,49,#26A69A,"1,0 M€",93 aides
Activités de services administratifs et de soutien,743239.00,45.00,49,#FF7043,"0,7 M€",45 aides
Activités financières et d'assurance,684215.00,37.00,49,#9CCC65,"0,7 M€",37 aides
Activités immobilières,561264.00,57.00,49,#FFCA28,"0,6 M€",57 aides
"Activités spécialisées, scientifiques et techniques",482576.00,55.00,49,#FFA726,"0,5 M€",55 aides
Enseignement,385905.00,12.00,49,#00897B,"0,4 M€",12 aides
Autres sections NAF,1166877.00,86.00,49,#AAAAAA,"1,2 M€",86 aides
Commerce,6859217.00,201.00,54,#29B6F6,"6,9 M€",201 aides
Industrie manufacturière,3313326.00,65.00,54,#AB47BC,"3,3 M€",65 aides
"Arts, spectacles et activités récréatives",1558971.00,11.00,54,#8E24AA,"1,6 M€",11 aides
Construction,1383381.00,70.00,54,#42A5F5,"1,4 M€",70 aides
Hébergement et restauration,1110066.00,142.00,54,#26A69A,"1,1 M€",142 aides
"Activités spécialisées, scientifiques et techniques",676505.00,47.00,54,#FFA726,"0,7 M€",47 aides
Transports et entreposage,609897.00,16.00,54,#26C6DA,"0,6 M€",16 aides
Activités financières et d'assurance,544567.00,26.00,54,#9CCC65,"0,5 M€",26 aides
Activités immobilières,457481.00,56.00,54,#FFCA28,"0,5 M€",56 aides
Activités de services administratifs et de soutien,440430.00,26.00,54,#FF7043,"0,4 M€",26 aides
Autres sections NAF,1215171.00,105.00,54,#AAAAAA,"1,2 M€",105 aides
Commerce,109795391.00,791.00,59,#29B6F6,"109,8 M€",791 aides
Industrie manufacturière,41023470.00,305.00,59,#AB47BC,"41,0 M€",305 aides
Construction,30008777.00,273.00,59,#42A5F5,"30,0 M€",273 aides
Activités de services administratifs et de soutien,10009822.00,128.00,59,#FF7043,"10,0 M€",128 aides
"Activités spécialisées, scientifiques et techniques",8674764.00,341.00,59,#FFA726,"8,7 M€",341 aides
Transports et entreposage,6598262.00,121.00,59,#26C6DA,"6,6 M€",121 aides
Hébergement et restauration,4793516.00,525.00,59,#26A69A,"4,8 M€",525 aides
Information et communication,4778175.00,107.00,59,#66BB6A,"4,8 M€",107 aides
Activités immobilières,3368843.00,202.00,59,#FFCA28,"3,4 M€",202 aides
Santé humaine et action sociale,3235397.00,89.00,59,#E53935,"3,2 M€",89 aides
Autres sections NAF,8351226.00,493.00,59,#AAAAAA,"8,4 M€",493 aides
Industrie manufacturière,9171329.00,18.00,55,#AB47BC,"9,2 M€",18 aides
Commerce,592234.00,32.00,55,#29B6F6,"0,6 M€",32 aides
"Prod./dist. eau, assainissement, déchets, dépollution",529607.00,3.00,55,#5C6BC0,"0,5 M€",3 aides
Construction,143812.00,15.00,55,#42A5F5,"0,1 M€",15 aides
Santé humaine et action sociale,104616.00,8.00,55,#E53935,"0,1 M€",8 aides
Activités de services administratifs et de soutien,56178.00,5.00,55,#FF7043,"0,1 M€",5 aides
"Activités spécialisées, scientifiques et techniques",50085.00,3.00,55,#FFA726,"0,1 M€",3 aides
Non connu,49341.00,8.00,55,#AAAAAA,"0,0 M€",8 aides
Activités immobilières,47961.00,6.00,55,#FFCA28,"0,0 M€",6 aides
Hébergement et restauration,33574.00,12.00,55,#26A69A,"0,0 M€",12 aides
Autres sections NAF,1567.00,3.00,55,#AAAAAA,"0,0 M€",3 aides
Commerce,4632984.00,208.00,14,#29B6F6,"4,6 M€",208 aides
Industrie manufacturière,2516762.00,64.00,14,#AB47BC,"2,5 M€",64 aides
Hébergement et restauration,1988053.00,216.00,14,#26A69A,"2,0 M€",216 aides
"Activités spécialisées, scientifiques et techniques",1571639.00,91.00,14,#FFA726,"1,6 M€",91 aides
Construction,1453383.00,90.00,14,#42A5F5,"1,5 M€",90 aides
"Arts, spectacles et activités récréatives",994193.00,35.00,14,#8E24AA,"1,0 M€",35 aides
Transports et entreposage,988738.00,33.00,14,#26C6DA,"1,0 M€",33 aides
Santé humaine et action sociale,979684.00,28.00,14,#E53935,"1,0 M€",28 aides
Activités immobilières,778016.00,69.00,14,#FFCA28,"0,8 M€",69 aides
Activités de services administratifs et de soutien,562998.00,31.00,14,#FF7043,"0,6 M€",31 aides
Autres sections NAF,1082099.00,96.00,14,#AAAAAA,"1,1 M€",96 aides
Commerce,19757434.00,232.00,42,#29B6F6,"19,8 M€",232 aides
Industrie manufacturière,7610863.00,141.00,42,#AB47BC,"7,6 M€",141 aides
"Activités spécialisées, scientifiques et techniques",3357972.00,84.00,42,#FFA726,"3,4 M€",84 aides
"Arts, spectacles et activités récréatives",3114709.00,23.00,42,#8E24AA,"3,1 M€",23 aides
Construction,1353685.00,106.00,42,#42A5F5,"1,4 M€",106 aides
Activités immobilières,1198298.00,71.00,42,#FFCA28,"1,2 M€",71 aides
Hébergement et restauration,779672.00,105.00,42,#26A69A,"0,8 M€",105 aides
Activités financières et d'assurance,770297.00,43.00,42,#9CCC65,"0,8 M€",43 aides
Transports et entreposage,756996.00,25.00,42,#26C6DA,"0,8 M€",25 aides
Santé humaine et action sociale,630935.00,28.00,42,#E53935,"0,6 M€",28 aides
Autres sections NAF,658068.00,90.00,42,#AAAAAA,"0,7 M€",90 aides
Industrie manufacturière,4275020.00,39.00,10,#AB47BC,"4,3 M€",39 aides
Commerce,1321413.00,72.00,10,#29B6F6,"1,3 M€",72 aides
"Activités spécialisées, scientifiques et techniques",332957.00,20.00,10,#FFA726,"0,3 M€",20 aides
Construction,301244.00,27.00,10,#42A5F5,"0,3 M€",27 aides
Information et communication,290938.00,8.00,10,#66BB6A,"0,3 M€",8 aides
Activités immobilières,290424.00,22.00,10,#FFCA28,"0,3 M€",22 aides
Santé humaine et action sociale,186351.00,8.00,10,#E53935,"0,2 M€",8 aides
Hébergement et restauration,135099.00,43.00,10,#26A69A,"0,1 M€",43 aides
"Prod./dist. eau, assainissement, déchets, dépollution",104155.00,4.00,10,#5C6BC0,"0,1 M€",4 aides
Activités financières et d'assurance,87916.00,18.00,10,#9CCC65,"0,1 M€",18 aides
Autres sections NAF,216484.00,47.00,10,#AAAAAA,"0,2 M€",47 aides
Commerce,2347739.00,137.00,86,#29B6F6,"2,3 M€",137 aides
Transports et entreposage,1972485.00,18.00,86,#26C6DA,"2,0 M€",18 aides
Industrie manufacturière,1918376.00,67.00,86,#AB47BC,"1,9 M€",67 aides
Santé humaine et action sociale,1195261.00,21.00,86,#E53935,"1,2 M€",21 aides
Hébergement et restauration,897391.00,120.00,86,#26A69A,"0,9 M€",120 aides
Construction,849931.00,44.00,86,#42A5F5,"0,8 M€",44 aides
Information et communication,776524.00,11.00,86,#66BB6A,"0,8 M€",11 aides
Activités financières et d'assurance,628474.00,22.00,86,#9CCC65,"0,6 M€",22 aides
