libelle_section_naf,montant,nombre,reg,color,montant_fr,nombre_fr
Transports et entreposage,196163073.00,503.00,53,#26C6DA,"196,2 M€",503 aides
Information et communication,107060588.00,420.00,53,#66BB6A,"107,1 M€",420 aides
Santé humaine et action sociale,81400541.00,1834.00,53,#E53935,"81,4 M€",1 834 aides
Autres sections NAF,265798822.00,3807.00,53,#AAAAAA,"265,8 M€",3 807 aides
Commerce,825509194.00,4303.00,24,#29B6F6,"825,5 M€",4 303 aides
Industrie manufacturière,780591946.00,1686.00,24,#AB47BC,"780,6 M€",1 686 aides
Construction,310710017.00,2955.00,24,#42A5F5,"310,7 M€",2 955 aides
Activités financières et d'assurance,272048753.00,299.00,24,#9CCC65,"272,0 M€",299 aides
Hébergement et restauration,175272133.00,2746.00,24,#26A69A,"175,3 M€",2 746 aides
"Activités spécialisées, scientifiques et techniques",151278611.00,1254.00,24,#FFA726,"151,3 M€",1 254 aides
Santé humaine et action sociale,79604371.00,1304.00,24,#E53935,"79,6 M€",1 304 aides
Activités de services administratifs et de soutien,72135311.00,615.00,24,#FF7043,"72,1 M€",615 aides
Transports et entreposage,67960411.00,553.00,24,#26C6DA,"68,0 M€",553 aides
"Agriculture, sylviculture et pêche",58379936.00,808.00,24,#EF5350,"58,4 M€",808 aides
Autres sections NAF,213427022.00,2894.00,24,#AAAAAA,"213,4 M€",2 894 aides
Commerce,2577657640.00,8574.00,32,#29B6F6,"2577,7 M€",8 574 aides
Industrie manufacturière,1345750773.00,2753.00,32,#AB47BC,"1345,8 M€",2 753 aides
Construction,889724858.00,5358.00,32,#42A5F5,"889,7 M€",5 358 aides
Activités financières et d'assurance,734064230.00,599.00,32,#9CCC65,"734,1 M€",599 aides
"Activités spécialisées, scientifiques et techniques",449631242.00,3157.00,32,#FFA726,"449,6 M€",3 157 aides
Hébergement et restauration,408178128.00,5541.00,32,#26A69A,"408,2 M€",5 541 aides
Activités de services administratifs et de soutien,328406510.00,1201.00,32,#FF7043,"328,4 M€",1 201 aides
Transports et entreposage,299398975.00,1249.00,32,#26C6DA,"299,4 M€",1 249 aides
Santé humaine et action sociale,207481207.00,3272.00,32,#E53935,"207,5 M€",3 272 aides
Information et communication,130329405.00,672.00,32,#66BB6A,"130,3 M€",672 aides
Autres sections NAF,403885376.00,5960.00,32,#AAAAAA,"403,9 M€",5 960 aides
Commerce,296844778.00,882.00,02,#29B6F6,"296,8 M€",882 aides
Activités financières et d'assurance,163892727.00,73.00,02,#9CCC65,"163,9 M€",73 aides
Industrie manufacturière,48257561.00,314.00,02,#AB47BC,"48,3 M€",314 aides
Construction,42106432.00,345.00,02,#42A5F5,"42,1 M€",345 aides
"Activités spécialisées, scientifiques et techniques",36951188.00,280.00,02,#FFA726,"37,0 M€",280 aides
Transports et entreposage,36167046.00,186.00,02,#26C6DA,"36,2 M€",186 aides
Hébergement et restauration,33824879.00,329.00,02,#26A69A,"33,8 M€",329 aides
Activités de services administratifs et de soutien,30070312.00,214.00,02,#FF7043,"30,1 M€",214 aides
Santé humaine et action sociale,20617605.00,279.00,02,#E53935,"20,6 M€",279 aides
"Agriculture, sylviculture et pêche",12841022.00,91.00,02,#EF5350,"12,8 M€",91 aides
Autres sections NAF,35906930.00,423.00,02,#AAAAAA,"35,9 M€",423 aides
Commerce,3685617431.00,18966.00,84,#29B6F6,"3685,6 M€",18 966 aides
Industrie manufacturière,2673116481.00,7443.00,84,#AB47BC,"2673,1 M€",7 443 aides
"Activités spécialisées, scientifiques et techniques",1631290860.00,7409.00,84,#FFA726,"1631,3 M€",7 409 aides
Construction,1471700242.00,11750.00,84,#42A5F5,"1471,7 M€",11 750 aides
Activités financières et d'assurance,1181810117.00,1349.00,84,#9CCC65,"1181,8 M€",1 349 aides
Hébergement et restauration,1091544038.00,12562.00,84,#26A69A,"1091,5 M€",12 562 aides
Transports et entreposage,447648182.00,2271.00,84,#26C6DA,"447,6 M€",2 271 aides
Activités de services administratifs et de soutien,407584707.00,3036.00,84,#FF7043,"407,6 M€",3 036 aides
Information et communication,404086241.00,1596.00,84,#66BB6A,"404,1 M€",1 596 aides
"Arts, spectacles et activités récréatives",334343332.00,1653.00,84,#8E24AA,"334,3 M€",1 653 aides
Autres sections NAF,965303799.00,15763.00,84,#AAAAAA,"965,3 M€",15 763 aides
