libelle_section_naf,montant,nombre,dep,color,montant_fr,nombre_fr
"Agriculture, sylviculture et pêche",10161753.00,167.00,50,#EF5350,"10,2 M€",167 aides
Transports et entreposage,7183711.00,61.00,50,#26C6DA,"7,2 M€",61 aides
Information et communication,6542280.00,29.00,50,#66BB6A,"6,5 M€",29 aides
Autres sections NAF,22094755.00,491.00,50,#AAAAAA,"22,1 M€",491 aides
Commerce,877210690.00,2574.00,77,#29B6F6,"877,2 M€",2 574 aides
Construction,376835733.00,2181.00,77,#42A5F5,"376,8 M€",2 181 aides
Industrie manufacturière,254377280.00,756.00,77,#AB47BC,"254,4 M€",756 aides
Activités financières et d'assurance,177713647.00,163.00,77,#9CCC65,"177,7 M€",163 aides
Hébergement et restauration,141757367.00,1223.00,77,#26A69A,"141,8 M€",1 223 aides
"Activités spécialisées, scientifiques et techniques",105720584.00,938.00,77,#FFA726,"105,7 M€",938 aides
Transports et entreposage,88262109.00,908.00,77,#26C6DA,"88,3 M€",908 aides
Activités de services administratifs et de soutien,83986956.00,547.00,77,#FF7043,"84,0 M€",547 aides
Santé humaine et action sociale,64408025.00,799.00,77,#E53935,"64,4 M€",799 aides
Enseignement,54106641.00,231.00,77,#00897B,"54,1 M€",231 aides
Autres sections NAF,157349166.00,1589.00,77,#AAAAAA,"157,3 M€",1 589 aides
Commerce,503656609.00,2098.00,95,#29B6F6,"503,7 M€",2 098 aides
Construction,298106653.00,1742.00,95,#42A5F5,"298,1 M€",1 742 aides
Industrie manufacturière,196388819.00,607.00,95,#AB47BC,"196,4 M€",607 aides
Transports et entreposage,132104742.00,1156.00,95,#26C6DA,"132,1 M€",1 156 aides
Activités de services administratifs et de soutien,105680547.00,470.00,95,#FF7043,"105,7 M€",470 aides
Hébergement et restauration,88396448.00,942.00,95,#26A69A,"88,4 M€",942 aides
"Activités spécialisées, scientifiques et techniques",87668320.00,875.00,95,#FFA726,"87,7 M€",875 aides
Santé humaine et action sociale,61470825.00,711.00,95,#E53935,"61,5 M€",711 aides
Activités financières et d'assurance,55934645.00,131.00,95,#9CCC65,"55,9 M€",131 aides
Information et communication,31375094.00,297.00,95,#66BB6A,"31,4 M€",297 aides
Autres sections NAF,95648721.00,1192.00,95,#AAAAAA,"95,6 M€",1 192 aides
Commerce,83387549.00,462.00,32,#29B6F6,"83,4 M€",462 aides
Industrie manufacturière,56564968.00,153.00,32,#AB47BC,"56,6 M€",153 aides
Activités financières et d'assurance,35163400.00,21.00,32,#9CCC65,"35,2 M€",21 aides
"Agriculture, sylviculture et pêche",30538717.00,335.00,32,#EF5350,"30,5 M€",335 aides
Construction,21436392.00,282.00,32,#42A5F5,"21,4 M€",282 aides
"Activités spécialisées, scientifiques et techniques",14301989.00,127.00,32,#FFA726,"14,3 M€",127 aides
Hébergement et restauration,12666415.00,246.00,32,#26A69A,"12,7 M€",246 aides
Santé humaine et action sociale,4826934.00,123.00,32,#E53935,"4,8 M€",123 aides
Transports et entreposage,3277000.00,41.00,32,#26C6DA,"3,3 M€",41 aides
"Arts, spectacles et activités récréatives",2235291.00,35.00,32,#8E24AA,"2,2 M€",35 aides
Autres sections NAF,7961850.00,220.00,32,#AAAAAA,"8,0 M€",220 aides
Activités de services administratifs et de soutien,163143400.00,56.00,04,#FF7043,"163,1 M€",56 aides
Industrie manufacturière,76767066.00,166.00,04,#AB47BC,"76,8 M€",166 aides
Commerce,51602634.00,520.00,04,#29B6F6,"51,6 M€",520 aides
Construction,36270420.00,292.00,04,#42A5F5,"36,3 M€",292 aides
Hébergement et restauration,26979212.00,506.00,04,#26A69A,"27,0 M€",506 aides
Activités financières et d'assurance,24775000.00,21.00,04,#9CCC65,"24,8 M€",21 aides
"Agriculture, sylviculture et pêche",9072952.00,133.00,04,#EF5350,"9,1 M€",133 aides
Santé humaine et action sociale,8053625.00,127.00,04,#E53935,"8,1 M€",127 aides
"Activités spécialisées, scientifiques et techniques",6091507.00,103.00,04,#FFA726,"6,1 M€",103 aides
Transports et entreposage,4554874.00,45.00,04,#26C6DA,"4,6 M€",45 aides
Autres sections NAF,10497672.00,261.00,04,#AAAAAA,"10,5 M€",261 aides
