libelle_section_naf,montant,nombre,dep,color,montant_fr,nombre_fr
Commerce,15452170.00,170.00,48,#29B6F6,"15,5 M€",170 aides
Construction,11636798.00,89.00,48,#42A5F5,"11,6 M€",89 aides
Industrie manufacturière,10483078.00,72.00,48,#AB47BC,"10,5 M€",72 aides
Hébergement et restauration,10326271.00,180.00,48,#26A69A,"10,3 M€",180 aides
Transports et entreposage,3725000.00,19.00,48,#26C6DA,"3,7 M€",19 aides
Non connu,3075000.00,5.00,48,#AAAAAA,"3,1 M€",5 aides
Santé humaine et action sociale,2014000.00,37.00,48,#E53935,"2,0 M€",37 aides
Activités de services administratifs et de soutien,1886708.00,17.00,48,#FF7043,"1,9 M€",17 aides
"Activités spécialisées, scientifiques et techniques",1626375.00,17.00,48,#FFA726,"1,6 M€",17 aides
"Agriculture, sylviculture et pêche",1173952.00,51.00,48,#EF5350,"1,2 M€",51 aides
Autres sections NAF,3428114.00,78.00,48,#AAAAAA,"3,4 M€",78 aides
Commerce,108499304.00,818.00,07,#29B6F6,"108,5 M€",818 aides
Industrie manufacturière,88211461.00,279.00,07,#AB47BC,"88,2 M€",279 aides
Hébergement et restauration,42550035.00,728.00,07,#26A69A,"42,6 M€",728 aides
Construction,37298237.00,492.00,07,#42A5F5,"37,3 M€",492 aides
Activités financières et d'assurance,18146900.00,26.00,07,#9CCC65,"18,1 M€",26 aides
Santé humaine et action sociale,11362451.00,209.00,07,#E53935,"11,4 M€",209 aides
"Activités spécialisées, scientifiques et techniques",11252649.00,149.00,07,#FFA726,"11,3 M€",149 aides
"Agriculture, sylviculture et pêche",11212167.00,271.00,07,#EF5350,"11,2 M€",271 aides
Activités de services administratifs et de soutien,9928915.00,93.00,07,#FF7043,"9,9 M€",93 aides
"Arts, spectacles et activités récréatives",9883554.00,77.00,07,#8E24AA,"9,9 M€",77 aides
Autres sections NAF,23927491.00,380.00,07,#AAAAAA,"23,9 M€",380 aides
Commerce,163421634.00,838.00,2A,#29B6F6,"163,4 M€",838 aides
Hébergement et restauration,108704139.00,873.00,2A,#26A69A,"108,7 M€",873 aides
Construction,85279070.00,567.00,2A,#42A5F5,"85,3 M€",567 aides
Transports et entreposage,44565619.00,104.00,2A,#26C6DA,"44,6 M€",104 aides
Industrie manufacturière,37943946.00,189.00,2A,#AB47BC,"37,9 M€",189 aides
Activités de services administratifs et de soutien,36750291.00,160.00,2A,#FF7043,"36,8 M€",160 aides
"Activités spécialisées, scientifiques et techniques",22601737.00,198.00,2A,#FFA726,"22,6 M€",198 aides
Santé humaine et action sociale,18733255.00,177.00,2A,#E53935,"18,7 M€",177 aides
Activités immobilières,8146233.00,113.00,2A,#FFCA28,"8,1 M€",113 aides
Information et communication,7788777.00,48.00,2A,#66BB6A,"7,8 M€",48 aides
Autres sections NAF,29963153.00,399.00,2A,#AAAAAA,"30,0 M€",399 aides
Activités de services administratifs et de soutien,254773129.00,235.00,56,#FF7043,"254,8 M€",235 aides
Commerce,252410341.00,1655.00,56,#29B6F6,"252,4 M€",1 655 aides
Industrie manufacturière,113301299.00,576.00,56,#AB47BC,"113,3 M€",576 aides
Hébergement et restauration,91443803.00,1390.00,56,#26A69A,"91,4 M€",1 390 aides
Construction,71942727.00,861.00,56,#42A5F5,"71,9 M€",861 aides
"Activités spécialisées, scientifiques et techniques",62774420.00,430.00,56,#FFA726,"62,8 M€",430 aides
Activités financières et d'assurance,50100036.00,100.00,56,#9CCC65,"50,1 M€",100 aides
Transports et entreposage,23738875.00,139.00,56,#26C6DA,"23,7 M€",139 aides
"Arts, spectacles et activités récréatives",21894491.00,139.00,56,#8E24AA,"21,9 M€",139 aides
Santé humaine et action sociale,19613076.00,457.00,56,#E53935,"19,6 M€",457 aides
Autres sections NAF,50869482.00,1008.00,56,#AAAAAA,"50,9 M€",1 008 aides
Commerce,68127826.00,602.00,65,#29B6F6,"68,1 M€",602 aides
Industrie manufacturière,43784325.00,167.00,65,#AB47BC,"43,8 M€",167 aides
Hébergement et restauration,42032730.00,475.00,65,#26A69A,"42,0 M€",475 aides
Construction,40534563.00,276.00,65,#42A5F5,"40,5 M€",276 aides
Activités financières et d'assurance,26773450.00,32.00,65,#9CCC65,"26,8 M€",32 aides
"Activités spécialisées, scientifiques et techniques",11460421.00,142.00,65,#FFA726,"11,5 M€",142 aides
Autres activités de services,11428933.00,134.00,65,#5E35B1,"11,4 M€",134 aides
Transports et entreposage,10173450.00,43.00,65,#26C6DA,"10,2 M€",43 aides
Activités de services administratifs et de soutien,9865385.00,62.00,65,#FF7043,"9,9 M€",62 aides
Santé humaine et action sociale,8073712.00,122.00,65,#E53935,"8,1 M€",122 aides
Autres sections NAF,10660175.00,238.00,65,#AAAAAA,"10,7 M€",238 aides
Commerce,214386969.00,1195.00,37,#29B6F6,"214,4 M€",1 195 aides
Industrie manufacturière,152836789.00,449.00,37,#AB47BC,"152,8 M€",449 aides
Construction,96793045.00,857.00,37,#42A5F5,"96,8 M€",857 aides
Activités financières et d'assurance,83043244.00,99.00,37,#9CCC65,"83,0 M€",99 aides
Hébergement et restauration,52807227.00,867.00,37,#26A69A,"52,8 M€",867 aides
"Activités spécialisées, scientifiques et techniques",41106915.00,433.00,37,#FFA726,"41,1 M€",433 aides
"Arts, spectacles et activités récréatives",21066215.00,148.00,37,#8E24AA,"21,1 M€",148 aides
Information et communication,20688144.00,95.00,37,#66BB6A,"20,7 M€",95 aides
"Agriculture, sylviculture et pêche",19271723.00,283.00,37,#EF5350,"19,3 M€",283 aides
Activités de services administratifs et de soutien,17319244.00,176.00,37,#FF7043,"17,3 M€",176 aides
Autres sections NAF,63220816.00,1177.00,37,#AAAAAA,"63,2 M€",1 177 aides
Industrie manufacturière,79399711.00,187.00,70,#AB47BC,"79,4 M€",187 aides
Commerce,48736249.00,410.00,70,#29B6F6,"48,7 M€",410 aides
Activités financières et d'assurance,37245500.00,21.00,70,#9CCC65,"37,2 M€",21 aides
Construction,15348853.00,249.00,70,#42A5F5,"15,3 M€",249 aides
Hébergement et restauration,9403710.00,159.00,70,#26A69A,"9,4 M€",159 aides
"Activités spécialisées, scientifiques et techniques",5310702.00,90.00,70,#FFA726,"5,3 M€",90 aides
Activités de services administratifs et de soutien,4486466.00,41.00,70,#FF7043,"4,5 M€",41 aides
Transports et entreposage,4377000.00,41.00,70,#26C6DA,"4,4 M€",41 aides
Santé humaine et action sociale,3936458.00,86.00,70,#E53935,"3,9 M€",86 aides
"Agriculture, sylviculture et pêche",3556269.00,80.00,70,#EF5350,"3,6 M€",80 aides
Autres sections NAF,11113443.00,204.00,70,#AAAAAA,"11,1 M€",204 aides
Commerce,34058915.00,157.00,976,#29B6F6,"34,1 M€",157 aides
Construction,12005903.00,99.00,976,#42A5F5,"12,0 M€",99 aides
Industrie manufacturière,10102308.00,45.00,976,#AB47BC,"10,1 M€",45 aides
Transports et entreposage,9249300.00,40.00,976,#26C6DA,"9,2 M€",40 aides
Activités de services administratifs et de soutien,4190514.00,34.00,976,#FF7043,"4,2 M€",34 aides
"Activités spécialisées, scientifiques et techniques",2887424.00,41.00,976,#FFA726,"2,9 M€",41 aides
Hébergement et restauration,2303872.00,26.00,976,#26A69A,"2,3 M€",26 aides
Non connu,1992189.00,12.00,976,#AAAAAA,"2,0 M€",12 aides
Santé humaine et action sociale,1742994.00,27.00,976,#E53935,"1,7 M€",27 aides
Enseignement,1207500.00,18.00,976,#00897B,"1,2 M€",18 aides
Autres sections NAF,3596712.00,47.00,976,#AAAAAA,"3,6 M€",47 aides
Industrie manufacturière,199809754.00,490.00,25,#AB47BC,"199,8 M€",490 aides
Commerce,137311059.00,1153.00,25,#29B6F6,"137,3 M€",1 153 aides
Activités financières et d'assurance,117977100.00,94.00,25,#9CCC65,"118,0 M€",94 aides
Construction,76229936.00,640.00,25,#42A5F5,"76,2 M€",640 aides
"Activités spécialisées, scientifiques et techniques",48903297.00,343.00,25,#FFA726,"48,9 M€",343 aides
Hébergement et restauration,40566499.00,624.00,25,#26A69A,"40,6 M€",624 aides
Santé humaine et action sociale,21353772.00,348.00,25,#E53935,"21,4 M€",348 aides
Transports et entreposage,17339535.00,106.00,25,#26C6DA,"17,3 M€",106 aides
Activités de services administratifs et de soutien,16919665.00,125.00,25,#FF7043,"16,9 M€",125 aides
Activités immobilières,11171681.00,102.00,25,#FFCA28,"11,2 M€",102 aides
Autres sections NAF,39754591.00,653.00,25,#AAAAAA,"39,8 M€",653 aides
"Activités spécialisées, scientifiques et techniques",196072108.00,182.00,47,#FFA726,"196,1 M€",182 aides
Commerce,150623074.00,928.00,47,#29B6F6,"150,6 M€",928 aides
Industrie manufacturière,79865415.00,322.00,47,#AB47BC,"79,9 M€",322 aides
Activités financières et d'assurance,79797698.00,57.00,47,#9CCC65,"79,8 M€",57 aides
Construction,54672687.00,579.00,47,#42A5F5,"54,7 M€",579 aides
Hébergement et restauration,37381515.00,430.00,47,#26A69A,"37,4 M€",430 aides
"Agriculture, sylviculture et pêche",32266054.00,674.00,47,#EF5350,"32,3 M€",674 aides
Activités de services administratifs et de soutien,18854579.00,120.00,47,#FF7043,"18,9 M€",120 aides
Santé humaine et action sociale,14660950.00,257.00,47,#E53935,"14,7 M€",257 aides
Transports et entreposage,11131505.00,83.00,47,#26C6DA,"11,1 M€",83 aides
Autres sections NAF,38277452.00,532.00,47,#AAAAAA,"38,3 M€",532 aides
Commerce,385201984.00,2402.00,44,#29B6F6,"385,2 M€",2 402 aides
"Activités spécialisées, scientifiques et techniques",379601411.00,1252.00,44,#FFA726,"379,6 M€",1 252 aides
Industrie manufacturière,359604055.00,760.00,44,#AB47BC,"359,6 M€",760 aides
Activités financières et d'assurance,256777309.00,221.00,44,#9CCC65,"256,8 M€",221 aides
Construction,156846569.00,1326.00,44,#42A5F5,"156,8 M€",1 326 aides
Hébergement et restauration,126247497.00,1672.00,44,#26A69A,"126,2 M€",1 672 aides
Information et communication,87474598.00,356.00,44,#66BB6A,"87,5 M€",356 aides
Activités de services administratifs et de soutien,64948913.00,407.00,44,#FF7043,"64,9 M€",407 aides
Santé humaine et action sociale,48431312.00,877.00,44,#E53935,"48,4 M€",877 aides
"Arts, spectacles et activités récréatives",35977527.00,275.00,44,#8E24AA,"36,0 M€",275 aides
Autres sections NAF,134209238.00,1802.00,44,#AAAAAA,"134,2 M€",1 802 aides
Commerce,174342987.00,1248.00,71,#29B6F6,"174,3 M€",1 248 aides
Industrie manufacturière,169708689.00,503.00,71,#AB47BC,"169,7 M€",503 aides
Construction,68038900.00,688.00,71,#42A5F5,"68,0 M€",688 aides
"Activités spécialisées, scientifiques et techniques",44564622.00,273.00,71,#FFA726,"44,6 M€",273 aides
Activités de services administratifs et de soutien,44452533.00,129.00,71,#FF7043,"44,5 M€",129 aides
Hébergement et restauration,43392494.00,764.00,71,#26A69A,"43,4 M€",764 aides
Transports et entreposage,24759022.00,109.00,71,#26C6DA,"24,8 M€",109 aides
"Agriculture, sylviculture et pêche",24007844.00,369.00,71,#EF5350,"24,0 M€",369 aides
Activités financières et d'assurance,17064800.00,53.00,71,#9CCC65,"17,1 M€",53 aides
Santé humaine et action sociale,14451499.00,280.00,71,#E53935,"14,5 M€",280 aides
Autres sections NAF,32820298.00,677.00,71,#AAAAAA,"32,8 M€",677 aides
Commerce,326811604.00,1202.00,45,#29B6F6,"326,8 M€",1 202 aides
Industrie manufacturière,157888317.00,405.00,45,#AB47BC,"157,9 M€",405 aides
Activités financières et d'assurance,94129717.00,98.00,45,#9CCC65,"94,1 M€",98 aides
Construction,86607547.00,858.00,45,#42A5F5,"86,6 M€",858 aides
"Activités spécialisées, scientifiques et techniques",63111721.00,396.00,45,#FFA726,"63,1 M€",396 aides
Hébergement et restauration,44695805.00,684.00,45,#26A69A,"44,7 M€",684 aides
Activités de services administratifs et de soutien,30933960.00,200.00,45,#FF7043,"30,9 M€",200 aides
Transports et entreposage,29341445.00,183.00,45,#26C6DA,"29,3 M€",183 aides
Santé humaine et action sociale,23284922.00,375.00,45,#E53935,"23,3 M€",375 aides
Industries extractives,15853400.00,7.00,45,#EC407A,"15,9 M€",7 aides
Autres sections NAF,59181935.00,990.00,45,#AAAAAA,"59,2 M€",990 aides
Industrie manufacturière,5461943026.00,579.00,92,#AB47BC,"5461,9 M€",579 aides
"Activités spécialisées, scientifiques et techniques",2318489356.00,3019.00,92,#FFA726,"2318,5 M€",3 019 aides
Commerce,1348448539.00,2802.00,92,#29B6F6,"1348,4 M€",2 802 aides
Activités financières et d'assurance,1149695605.00,394.00,92,#9CCC65,"1149,7 M€",394 aides
Information et communication,851556527.00,1552.00,92,#66BB6A,"851,6 M€",1 552 aides
Hébergement et restauration,844461915.00,2187.00,92,#26A69A,"844,5 M€",2 187 aides
Construction,388591300.00,1346.00,92,#42A5F5,"388,6 M€",1 346 aides
Activités de services administratifs et de soutien,327652324.00,820.00,92,#FF7043,"327,7 M€",820 aides
Transports et entreposage,198383463.00,1081.00,92,#26C6DA,"198,4 M€",1 081 aides
Santé humaine et action sociale,162513261.00,1377.00,92,#E53935,"162,5 M€",1 377 aides
Autres sections NAF,257516540.00,2200.00,92,#AAAAAA,"257,5 M€",2 200 aides
Commerce,518070671.00,3803.00,83,#29B6F6,"518,1 M€",3 803 aides
Hébergement et restauration,256801208.00,2671.00,83,#26A69A,"256,8 M€",2 671 aides
Construction,223350521.00,2398.00,83,#42A5F5,"223,4 M€",2 398 aides
"Activités spécialisées, scientifiques et techniques",133664774.00,1156.00,83,#FFA726,"133,7 M€",1 156 aides
Industrie manufacturière,131761144.00,971.00,83,#AB47BC,"131,8 M€",971 aides
Activités financières et d'assurance,88896275.00,223.00,83,#9CCC65,"88,9 M€",223 aides
Activités de services administratifs et de soutien,75077894.00,690.00,83,#FF7043,"75,1 M€",690 aides
Santé humaine et action sociale,71783355.00,1259.00,83,#E53935,"71,8 M€",1 259 aides
Activités immobilières,45152605.00,591.00,83,#FFCA28,"45,2 M€",591 aides
Transports et entreposage,39180713.00,382.00,83,#26C6DA,"39,2 M€",382 aides
Autres sections NAF,126739994.00,2275.00,83,#AAAAAA,"126,7 M€",2 275 aides
Commerce,1164675992.00,4870.00,69,#29B6F6,"1164,7 M€",4 870 aides
"Activités spécialisées, scientifiques et techniques",1034286255.00,3239.00,69,#FFA726,"1034,3 M€",3 239 aides
Industrie manufacturière,627412405.00,1754.00,69,#AB47BC,"627,4 M€",1 754 aides
Activités financières et d'assurance,496747985.00,533.00,69,#9CCC65,"496,7 M€",533 aides
Construction,397429036.00,2705.00,69,#42A5F5,"397,4 M€",2 705 aides
Hébergement et restauration,318227658.00,2842.00,69,#26A69A,"318,2 M€",2 842 aides
Information et communication,241658927.00,833.00,69,#66BB6A,"241,7 M€",833 aides
"Arts, spectacles et activités récréatives",219868293.00,434.00,69,#8E24AA,"219,9 M€",434 aides
Activités de services administratifs et de soutien,171059706.00,990.00,69,#FF7043,"171,1 M€",990 aides
Transports et entreposage,143572399.00,826.00,69,#26C6DA,"143,6 M€",826 aides
Autres sections NAF,325136729.00,4419.00,69,#AAAAAA,"325,1 M€",4 419 aides
Industrie manufacturière,31000400.00,71.00,23,#AB47BC,"31,0 M€",71 aides
Commerce,19340597.00,173.00,23,#29B6F6,"19,3 M€",173 aides
Construction,9161734.00,112.00,23,#42A5F5,"9,2 M€",112 aides
Hébergement et restauration,3842847.00,105.00,23,#26A69A,"3,8 M€",105 aides
"Agriculture, sylviculture et pêche",3157655.00,61.00,23,#EF5350,"3,2 M€",61 aides
"Activités spécialisées, scientifiques et techniques",2280086.00,32.00,23,#FFA726,"2,3 M€",32 aides
Transports et entreposage,1826900.00,21.00,23,#26C6DA,"1,8 M€",21 aides
Autres activités de services,1658029.00,42.00,23,#5E35B1,"1,7 M€",42 aides
Santé humaine et action sociale,1458600.00,32.00,23,#E53935,"1,5 M€",32 aides
Enseignement,587215.00,11.00,23,#00897B,"0,6 M€",11 aides
Autres sections NAF,1752395.00,46.00,23,#AAAAAA,"1,8 M€",46 aides
Industrie manufacturière,93573581.00,219.00,08,#AB47BC,"93,6 M€",219 aides
Commerce,52674610.00,347.00,08,#29B6F6,"52,7 M€",347 aides
Construction,23157510.00,254.00,08,#42A5F5,"23,2 M€",254 aides
"Activités spécialisées, scientifiques et techniques",16190100.00,83.00,08,#FFA726,"16,2 M€",83 aides
Activités financières et d'assurance,15297483.00,21.00,08,#9CCC65,"15,3 M€",21 aides
Hébergement et restauration,11425426.00,218.00,08,#26A69A,"11,4 M€",218 aides
Transports et entreposage,7139780.00,55.00,08,#26C6DA,"7,1 M€",55 aides
Santé humaine et action sociale,4564464.00,101.00,08,#E53935,"4,6 M€",101 aides
Activités de services administratifs et de soutien,4041697.00,30.00,08,#FF7043,"4,0 M€",30 aides
Autres activités de services,2455273.00,111.00,08,#5E35B1,"2,5 M€",111 aides
Autres sections NAF,7934579.00,122.00,08,#AAAAAA,"7,9 M€",122 aides
Commerce,278592708.00,1763.00,57,#29B6F6,"278,6 M€",1 763 aides
Construction,185144864.00,1267.00,57,#42A5F5,"185,1 M€",1 267 aides
Industrie manufacturière,181590466.00,548.00,57,#AB47BC,"181,6 M€",548 aides
Activités financières et d'assurance,133393943.00,134.00,57,#9CCC65,"133,4 M€",134 aides
Hébergement et restauration,81141320.00,1031.00,57,#26A69A,"81,1 M€",1 031 aides
"Activités spécialisées, scientifiques et techniques",74649867.00,485.00,57,#FFA726,"74,6 M€",485 aides
Transports et entreposage,57411703.00,203.00,57,#26C6DA,"57,4 M€",203 aides
Santé humaine et action sociale,55938964.00,639.00,57,#E53935,"55,9 M€",639 aides
Activités immobilières,51067448.00,129.00,57,#FFCA28,"51,1 M€",129 aides
Activités de services administratifs et de soutien,49372145.00,237.00,57,#FF7043,"49,4 M€",237 aides
Autres sections NAF,85981237.00,1045.00,57,#AAAAAA,"86,0 M€",1 045 aides
Activités financières et d'assurance,226370511.00,105.00,29,#9CCC65,"226,4 M€",105 aides
Commerce,177662650.00,1371.00,29,#29B6F6,"177,7 M€",1 371 aides
Industrie manufacturière,138972155.00,474.00,29,#AB47BC,"139,0 M€",474 aides
Transports et entreposage,129976230.00,105.00,29,#26C6DA,"130,0 M€",105 aides
Hébergement et restauration,75100593.00,1216.00,29,#26A69A,"75,1 M€",1 216 aides
Construction,73156805.00,733.00,29,#42A5F5,"73,2 M€",733 aides
"Activités spécialisées, scientifiques et techniques",69206313.00,310.00,29,#FFA726,"69,2 M€",310 aides
Activités de services administratifs et de soutien,22904625.00,145.00,29,#FF7043,"22,9 M€",145 aides
Santé humaine et action sociale,17351329.00,488.00,29,#E53935,"17,4 M€",488 aides
"Agriculture, sylviculture et pêche",14232493.00,155.00,29,#EF5350,"14,2 M€",155 aides
Autres sections NAF,50640040.00,893.00,29,#AAAAAA,"50,6 M€",893 aides
Commerce,4100978611.00,10056.00,75,#29B6F6,"4101,0 M€",10 056 aides
Activités financières et d'assurance,3651593068.00,1446.00,75,#9CCC65,"3651,6 M€",1 446 aides
"Activités spécialisées, scientifiques et techniques",3556924396.00,12741.00,75,#FFA726,"3556,9 M€",12 741 aides
Hébergement et restauration,2380486164.00,10569.00,75,#26A69A,"2380,5 M€",10 569 aides
Information et communication,1682059035.00,4509.00,75,#66BB6A,"1682,1 M€",4 509 aides
Activités de services administratifs et de soutien,1098520775.00,2399.00,75,#FF7043,"1098,5 M€",2 399 aides
Industrie manufacturière,1038087750.00,2101.00,75,#AB47BC,"1038,1 M€",2 101 aides
"Arts, spectacles et activités récréatives",701754396.00,1324.00,75,#8E24AA,"701,8 M€",1 324 aides
Construction,476926595.00,2380.00,75,#42A5F5,"476,9 M€",2 380 aides
Activités immobilières,393057258.00,2060.00,75,#FFCA28,"393,1 M€",2 060 aides
Autres sections NAF,1227630103.00,8777.00,75,#AAAAAA,"1227,6 M€",8 777 aides
Commerce,381777200.00,2211.00,74,#29B6F6,"381,8 M€",2 211 aides
Industrie manufacturière,341642835.00,794.00,74,#AB47BC,"341,6 M€",794 aides
Hébergement et restauration,272165366.00,1916.00,74,#26A69A,"272,2 M€",1 916 aides
Construction,194732056.00,1350.00,74,#42A5F5,"194,7 M€",1 350 aides
Activités financières et d'assurance,141574658.00,147.00,74,#9CCC65,"141,6 M€",147 aides
"Activités spécialisées, scientifiques et techniques",136444177.00,679.00,74,#FFA726,"136,4 M€",679 aides
Transports et entreposage,78552285.00,241.00,74,#26C6DA,"78,6 M€",241 aides
Activités de services administratifs et de soutien,42870652.00,447.00,74,#FF7043,"42,9 M€",447 aides
Santé humaine et action sociale,31158758.00,550.00,74,#E53935,"31,2 M€",550 aides
Activités immobilières,29906938.00,344.00,74,#FFCA28,"29,9 M€",344 aides
Autres sections NAF,89417441.00,1264.00,74,#AAAAAA,"89,4 M€",1 264 aides
Commerce,136626049.00,783.00,72,#29B6F6,"136,6 M€",783 aides
Industrie manufacturière,113549697.00,338.00,72,#AB47BC,"113,5 M€",338 aides
Construction,44099053.00,455.00,72,#42A5F5,"44,1 M€",455 aides
Santé humaine et action sociale,39633350.00,264.00,72,#E53935,"39,6 M€",264 aides
Activités financières et d'assurance,34535904.00,64.00,72,#9CCC65,"34,5 M€",64 aides
Hébergement et restauration,31249029.00,524.00,72,#26A69A,"31,2 M€",524 aides
"Activités spécialisées, scientifiques et techniques",25243247.00,216.00,72,#FFA726,"25,2 M€",216 aides
"Arts, spectacles et activités récréatives",22748159.00,87.00,72,#8E24AA,"22,7 M€",87 aides
Activités de services administratifs et de soutien,11667350.00,97.00,72,#FF7043,"11,7 M€",97 aides
Enseignement,9407477.00,74.00,72,#00897B,"9,4 M€",74 aides
Autres sections NAF,33547674.00,517.00,72,#AAAAAA,"33,5 M€",517 aides
Commerce,226496098.00,1548.00,66,#29B6F6,"226,5 M€",1 548 aides
Activités financières et d'assurance,106580825.00,104.00,66,#9CCC65,"106,6 M€",104 aides
Hébergement et restauration,78566522.00,1053.00,66,#26A69A,"78,6 M€",1 053 aides
Industrie manufacturière,74784745.00,363.00,66,#AB47BC,"74,8 M€",363 aides
Construction,73623500.00,878.00,66,#42A5F5,"73,6 M€",878 aides
"Activités spécialisées, scientifiques et techniques",30676377.00,420.00,66,#FFA726,"30,7 M€",420 aides
Santé humaine et action sociale,30072885.00,571.00,66,#E53935,"30,1 M€",571 aides
"Agriculture, sylviculture et pêche",26264967.00,469.00,66,#EF5350,"26,3 M€",469 aides
Activités de services administratifs et de soutien,25248211.00,177.00,66,#FF7043,"25,2 M€",177 aides
Transports et entreposage,20328531.00,140.00,66,#26C6DA,"20,3 M€",140 aides
Autres sections NAF,58114894.00,937.00,66,#AAAAAA,"58,1 M€",937 aides
Industrie manufacturière,106947681.00,205.00,61,#AB47BC,"106,9 M€",205 aides
Commerce,56693805.00,412.00,61,#29B6F6,"56,7 M€",412 aides
Activités financières et d'assurance,22278527.00,23.00,61,#9CCC65,"22,3 M€",23 aides
Construction,22256989.00,222.00,61,#42A5F5,"22,3 M€",222 aides
"Activités spécialisées, scientifiques et techniques",12345425.00,68.00,61,#FFA726,"12,3 M€",68 aides
Hébergement et restauration,10324437.00,271.00,61,#26A69A,"10,3 M€",271 aides
"Agriculture, sylviculture et pêche",9526302.00,117.00,61,#EF5350,"9,5 M€",117 aides
Transports et entreposage,7254566.00,48.00,61,#26C6DA,"7,3 M€",48 aides
Santé humaine et action sociale,4294472.00,98.00,61,#E53935,"4,3 M€",98 aides
Information et communication,2407000.00,15.00,61,#66BB6A,"2,4 M€",15 aides
Autres sections NAF,8115185.00,238.00,61,#AAAAAA,"8,1 M€",238 aides
Commerce,4711500.00,19.00,975,#29B6F6,"4,7 M€",19 aides
Construction,2302200.00,5.00,975,#42A5F5,"2,3 M€",5 aides
Industrie manufacturière,1018500.00,3.00,975,#AB47BC,"1,0 M€",3 aides
Non connu,739000.00,6.00,975,#AAAAAA,"0,7 M€",6 aides
Hébergement et restauration,450000.00,4.00,975,#26A69A,"0,5 M€",4 aides
Activités de services administratifs et de soutien,210000.00,3.00,975,#FF7043,"0,2 M€",3 aides
Autres activités de services,46500.00,4.00,975,#5E35B1,"0,0 M€",4 aides
Commerce,129125061.00,1048.00,24,#29B6F6,"129,1 M€",1 048 aides
Industrie manufacturière,98771586.00,361.00,24,#AB47BC,"98,8 M€",361 aides
Construction,73447799.00,731.00,24,#42A5F5,"73,4 M€",731 aides
Hébergement et restauration,46469705.00,867.00,24,#26A69A,"46,5 M€",867 aides
"Agriculture, sylviculture et pêche",28963211.00,559.00,24,#EF5350,"29,0 M€",559 aides
"Activités spécialisées, scientifiques et techniques",19336696.00,212.00,24,#FFA726,"19,3 M€",212 aides
Santé humaine et action sociale,15775789.00,282.00,24,#E53935,"15,8 M€",282 aides
Activités de services administratifs et de soutien,15728147.00,135.00,24,#FF7043,"15,7 M€",135 aides
Activités financières et d'assurance,14606419.00,65.00,24,#9CCC65,"14,6 M€",65 aides
Transports et entreposage,12621284.00,94.00,24,#26C6DA,"12,6 M€",94 aides
Autres sections NAF,35769368.00,605.00,24,#AAAAAA,"35,8 M€",605 aides
Commerce,100297598.00,695.00,89,#29B6F6,"100,3 M€",695 aides
Industrie manufacturière,86568087.00,272.00,89,#AB47BC,"86,6 M€",272 aides
Construction,36265211.00,468.00,89,#42A5F5,"36,3 M€",468 aides
Hébergement et restauration,28196834.00,413.00,89,#26A69A,"28,2 M€",413 aides
Activités financières et d'assurance,27761580.00,41.00,89,#9CCC65,"27,8 M€",41 aides
Activités de services administratifs et de soutien,19517600.00,93.00,89,#FF7043,"19,5 M€",93 aides
"Agriculture, sylviculture et pêche",17308216.00,200.00,89,#EF5350,"17,3 M€",200 aides
Santé humaine et action sociale,11868441.00,180.00,89,#E53935,"11,9 M€",180 aides
"Activités spécialisées, scientifiques et techniques",10433567.00,150.00,89,#FFA726,"10,4 M€",150 aides
"Arts, spectacles et activités récréatives",9354246.00,58.00,89,#8E24AA,"9,4 M€",58 aides
Autres sections NAF,25234614.00,395.00,89,#AAAAAA,"25,2 M€",395 aides
Commerce,255651296.00,1884.00,17,#29B6F6,"255,7 M€",1 884 aides
Industrie manufacturière,160999728.00,601.00,17,#AB47BC,"161,0 M€",601 aides
Hébergement et restauration,98092643.00,1343.00,17,#26A69A,"98,1 M€",1 343 aides
Construction,80864511.00,953.00,17,#42A5F5,"80,9 M€",953 aides
Activités financières et d'assurance,66844250.00,131.00,17,#9CCC65,"66,8 M€",131 aides
"Activités spécialisées, scientifiques et techniques",56228679.00,412.00,17,#FFA726,"56,2 M€",412 aides
Transports et entreposage,32148259.00,149.00,17,#26C6DA,"32,1 M€",149 aides
"Agriculture, sylviculture et pêche",26538440.00,352.00,17,#EF5350,"26,5 M€",352 aides
Activités de services administratifs et de soutien,24329884.00,234.00,17,#FF7043,"24,3 M€",234 aides
Santé humaine et action sociale,22586545.00,444.00,17,#E53935,"22,6 M€",444 aides
Autres sections NAF,71345067.00,1096.00,17,#AAAAAA,"71,3 M€",1 096 aides
Activités financières et d'assurance,144592864.00,30.00,43,#9CCC65,"144,6 M€",30 aides
Commerce,80419400.00,611.00,43,#29B6F6,"80,4 M€",611 aides
Industrie manufacturière,66149503.00,291.00,43,#AB47BC,"66,1 M€",291 aides
Construction,32452778.00,360.00,43,#42A5F5,"32,5 M€",360 aides
Hébergement et restauration,31009927.00,352.00,43,#26A69A,"31,0 M€",352 aides
"Activités spécialisées, scientifiques et techniques",9964250.00,106.00,43,#FFA726,"10,0 M€",106 aides
Santé humaine et action sociale,5937455.00,107.00,43,#E53935,"5,9 M€",107 aides
Transports et entreposage,3933765.00,44.00,43,#26C6DA,"3,9 M€",44 aides
"Prod./dist. eau, assainissement, déchets, dépollution",3896013.00,14.00,43,#5C6BC0,"3,9 M€",14 aides
