libelle_classe_effectif,montant,nombre,nombre_siren,color,montant_fr,nombre_fr,nombre_siren_fr
0 salarié,2647559037.02,794354,142294,#8E24AA,"2647,6 M€",794 354 aides,142 294 entreprises
1 ou 2 salariés,7995585683.26,1989137,374410,#7E57C2,"7995,6 M€",1 989 137 aides,374 410 entreprises
3 à 5 salariés,4975951533.89,833109,150132,#5C6BC0,"4976,0 M€",833 109 aides,150 132 entreprises
6 à 9 salariés,2872102967.77,320680,54002,#1E88E5,"2872,1 M€",320 680 aides,54 002 entreprises
Etablissement non employeur,1433976799.83,688522,139383,#D81B60,"1434,0 M€",688 522 aides,139 383 entreprises
Autres Classes d'Effectifs,8091353788.11,230897,36731,#AAAAAA,"8091,4 M€",230 897 aides,36 731 entreprises
