libelle_section_naf,montant,nombre,nombre_siren,dep,color,montant_fr,nombre_fr,nombre_siren_fr
Hébergement et restauration,29293113.09,10226,2384,78,#26A69A,"29,3 M€",10 226 aides,2 384 entreprises
Autres activités de services,18267015.00,9641,2883,78,#5E35B1,"18,3 M€",9 641 aides,2 883 entreprises
Construction,12510709.00,7798,3227,78,#42A5F5,"12,5 M€",7 798 aides,3 227 entreprises
Santé humaine et action sociale,9979962.00,7480,3397,78,#E53935,"10,0 M€",7 480 aides,3 397 entreprises
"Arts, spectacles et activités récréatives",12812541.00,7241,1619,78,#8E24AA,"12,8 M€",7 241 aides,1 619 entreprises
Enseignement,9493866.18,6348,1749,78,#00897B,"9,5 M€",6 348 aides,1 749 entreprises
Activités de services administratifs et de soutien,9970587.49,5213,1430,78,#FF7043,"10,0 M€",5 213 aides,1 430 entreprises
Autres sections NAF,18933796.78,11138,3696,78,#AAAAAA,"18,9 M€",11 138 aides,3 696 entreprises
Commerce,7707906.00,3776,1256,79,#29B6F6,"7,7 M€",3 776 aides,1 256 entreprises
Hébergement et restauration,7695802.43,3161,741,79,#26A69A,"7,7 M€",3 161 aides,741 entreprises
Autres activités de services,5322728.00,2981,906,79,#5E35B1,"5,3 M€",2 981 aides,906 entreprises
Construction,2939794.00,2018,983,79,#42A5F5,"2,9 M€",2 018 aides,983 entreprises
"Arts, spectacles et activités récréatives",2477965.00,1482,338,79,#8E24AA,"2,5 M€",1 482 aides,338 entreprises
"Activités spécialisées, scientifiques et techniques",2273544.80,1367,459,79,#FFA726,"2,3 M€",1 367 aides,459 entreprises
Santé humaine et action sociale,1683565.00,1330,580,79,#E53935,"1,7 M€",1 330 aides,580 entreprises
Enseignement,1480746.00,941,278,79,#00897B,"1,5 M€",941 aides,278 entreprises
Industrie manufacturière,1167303.00,848,316,79,#AB47BC,"1,2 M€",848 aides,316 entreprises
Activités de services administratifs et de soutien,1098446.00,711,255,79,#FF7043,"1,1 M€",711 aides,255 entreprises
Autres sections NAF,3228168.00,2034,770,79,#AAAAAA,"3,2 M€",2 034 aides,770 entreprises
Hébergement et restauration,14422778.57,5592,1338,80,#26A69A,"14,4 M€",5 592 aides,1 338 entreprises
Commerce,9910777.00,5460,1828,80,#29B6F6,"9,9 M€",5 460 aides,1 828 entreprises
Autres activités de services,6645105.00,4344,1315,80,#5E35B1,"6,6 M€",4 344 aides,1 315 entreprises
"Arts, spectacles et activités récréatives",4238443.00,2581,545,80,#8E24AA,"4,2 M€",2 581 aides,545 entreprises
Construction,3661920.00,2501,1174,80,#42A5F5,"3,7 M€",2 501 aides,1 174 entreprises
Santé humaine et action sociale,2638375.00,1938,918,80,#E53935,"2,6 M€",1 938 aides,918 entreprises
"Activités spécialisées, scientifiques et techniques",3270408.21,1931,703,80,#FFA726,"3,3 M€",1 931 aides,703 entreprises
Transports et entreposage,2014643.00,1256,362,80,#26C6DA,"2,0 M€",1 256 aides,362 entreprises
Activités de services administratifs et de soutien,1961623.00,1215,381,80,#FF7043,"2,0 M€",1 215 aides,381 entreprises
Enseignement,2002584.00,1187,331,80,#00897B,"2,0 M€",1 187 aides,331 entreprises
Autres sections NAF,5277908.69,3504,1316,80,#AAAAAA,"5,3 M€",3 504 aides,1 316 entreprises
Commerce,11587658.00,5905,2016,81,#29B6F6,"11,6 M€",5 905 aides,2 016 entreprises
Hébergement et restauration,11404671.15,4526,1033,81,#26A69A,"11,4 M€",4 526 aides,1 033 entreprises
Autres activités de services,6549611.00,4335,1303,81,#5E35B1,"6,5 M€",4 335 aides,1 303 entreprises
Construction,4960385.00,3446,1603,81,#42A5F5,"5,0 M€",3 446 aides,1 603 entreprises
"Activités spécialisées, scientifiques et techniques",4260436.83,2486,827,81,#FFA726,"4,3 M€",2 486 aides,827 entreprises
"Arts, spectacles et activités récréatives",3925431.69,2414,545,81,#8E24AA,"3,9 M€",2 414 aides,545 entreprises
Santé humaine et action sociale,2933389.00,2334,1070,81,#E53935,"2,9 M€",2 334 aides,1 070 entreprises
Enseignement,2706243.00,1999,562,81,#00897B,"2,7 M€",1 999 aides,562 entreprises
Industrie manufacturière,2666258.00,1924,716,81,#AB47BC,"2,7 M€",1 924 aides,716 entreprises
Activités de services administratifs et de soutien,1787665.00,1216,439,81,#FF7043,"1,8 M€",1 216 aides,439 entreprises
Autres sections NAF,5122489.00,3333,1165,81,#AAAAAA,"5,1 M€",3 333 aides,1 165 entreprises
Commerce,7700428.00,3994,1346,82,#29B6F6,"7,7 M€",3 994 aides,1 346 entreprises
Hébergement et restauration,7818024.96,3142,705,82,#26A69A,"7,8 M€",3 142 aides,705 entreprises
Construction,4627137.00,3056,1310,82,#42A5F5,"4,6 M€",3 056 aides,1 310 entreprises
Autres activités de services,4258621.00,2832,856,82,#5E35B1,"4,3 M€",2 832 aides,856 entreprises
Santé humaine et action sociale,1943437.00,1481,682,82,#E53935,"1,9 M€",1 481 aides,682 entreprises
"Activités spécialisées, scientifiques et techniques",2683572.10,1461,526,82,#FFA726,"2,7 M€",1 461 aides,526 entreprises
"Arts, spectacles et activités récréatives",2175342.42,1358,300,82,#8E24AA,"2,2 M€",1 358 aides,300 entreprises
Enseignement,1486046.00,1045,274,82,#00897B,"1,5 M€",1 045 aides,274 entreprises
Activités de services administratifs et de soutien,1468860.00,942,322,82,#FF7043,"1,5 M€",942 aides,322 entreprises
Industrie manufacturière,1368470.00,925,339,82,#AB47BC,"1,4 M€",925 aides,339 entreprises
Autres sections NAF,3140703.00,1942,726,82,#AAAAAA,"3,1 M€",1 942 aides,726 entreprises
Commerce,49237240.00,26101,8106,83,#29B6F6,"49,2 M€",26 101 aides,8 106 entreprises
Hébergement et restauration,51187140.74,18994,4582,83,#26A69A,"51,2 M€",18 994 aides,4 582 entreprises
Autres activités de services,24288617.00,15440,4597,83,#5E35B1,"24,3 M€",15 440 aides,4 597 entreprises
Construction,22260633.00,14977,6304,83,#42A5F5,"22,3 M€",14 977 aides,6 304 entreprises
"Activités spécialisées, scientifiques et techniques",19733453.00,10811,3622,83,#FFA726,"19,7 M€",10 811 aides,3 622 entreprises
Santé humaine et action sociale,9965473.00,7569,3393,83,#E53935,"10,0 M€",7 569 aides,3 393 entreprises
Activités de services administratifs et de soutien,12419976.00,7512,2525,83,#FF7043,"12,4 M€",7 512 aides,2 525 entreprises
"Arts, spectacles et activités récréatives",13031389.72,7164,1556,83,#8E24AA,"13,0 M€",7 164 aides,1 556 entreprises
Enseignement,9535785.00,6628,1733,83,#00897B,"9,5 M€",6 628 aides,1 733 entreprises
Industrie manufacturière,8994398.00,5810,2031,83,#AB47BC,"9,0 M€",5 810 aides,2 031 entreprises
Autres sections NAF,23195564.62,13194,4294,83,#AAAAAA,"23,2 M€",13 194 aides,4 294 entreprises
