libelle_section_naf,montant,nombre,nombre_siren,dep,color,montant_fr,nombre_fr,nombre_siren_fr
Commerce,17081578.17,10704,3063,971,#29B6F6,"17,1 M€",10 704 aides,3 063 entreprises
"Agriculture, sylviculture et pêche",15535136.95,9990,2466,971,#EF5350,"15,5 M€",9 990 aides,2 466 entreprises
Activités de services administratifs et de soutien,10135198.04,6000,1328,971,#FF7043,"10,1 M€",6 000 aides,1 328 entreprises
Construction,9097022.71,5918,2121,971,#42A5F5,"9,1 M€",5 918 aides,2 121 entreprises
Industrie manufacturière,6408496.95,4036,1167,971,#AB47BC,"6,4 M€",4 036 aides,1 167 entreprises
"Activités spécialisées, scientifiques et techniques",6313627.51,3978,1217,971,#FFA726,"6,3 M€",3 978 aides,1 217 entreprises
Autres activités de services,5108867.85,3680,1097,971,#5E35B1,"5,1 M€",3 680 aides,1 097 entreprises
Transports et entreposage,5256682.00,3275,713,971,#26C6DA,"5,3 M€",3 275 aides,713 entreprises
"Arts, spectacles et activités récréatives",4468076.94,2533,457,971,#8E24AA,"4,5 M€",2 533 aides,457 entreprises
Autres sections NAF,11373287.72,7780,2488,971,#AAAAAA,"11,4 M€",7 780 aides,2 488 entreprises
Commerce,14589587.00,7686,2141,972,#29B6F6,"14,6 M€",7 686 aides,2 141 entreprises
Hébergement et restauration,12312107.34,5910,1202,972,#26A69A,"12,3 M€",5 910 aides,1 202 entreprises
Autres activités de services,6559889.00,4042,1036,972,#5E35B1,"6,6 M€",4 042 aides,1 036 entreprises
Activités de services administratifs et de soutien,6639649.60,3822,903,972,#FF7043,"6,6 M€",3 822 aides,903 entreprises
Construction,5750309.00,3647,1354,972,#42A5F5,"5,8 M€",3 647 aides,1 354 entreprises
"Activités spécialisées, scientifiques et techniques",5800230.00,3435,1066,972,#FFA726,"5,8 M€",3 435 aides,1 066 entreprises
Transports et entreposage,5006908.00,2931,694,972,#26C6DA,"5,0 M€",2 931 aides,694 entreprises
Industrie manufacturière,4379009.00,2752,808,972,#AB47BC,"4,4 M€",2 752 aides,808 entreprises
"Agriculture, sylviculture et pêche",3471615.00,2522,726,972,#EF5350,"3,5 M€",2 522 aides,726 entreprises
Santé humaine et action sociale,3016610.00,2110,924,972,#E53935,"3,0 M€",2 110 aides,924 entreprises
Autres sections NAF,9860151.00,5916,1444,972,#AAAAAA,"9,9 M€",5 916 aides,1 444 entreprises
Construction,13005762.00,5568,1054,973,#42A5F5,"13,0 M€",5 568 aides,1 054 entreprises
Commerce,10447630.84,4727,947,973,#29B6F6,"10,4 M€",4 727 aides,947 entreprises
"Agriculture, sylviculture et pêche",7638366.00,4275,801,973,#EF5350,"7,6 M€",4 275 aides,801 entreprises
Hébergement et restauration,8924914.74,3551,560,973,#26A69A,"8,9 M€",3 551 aides,560 entreprises
Activités de services administratifs et de soutien,4927338.40,2165,378,973,#FF7043,"4,9 M€",2 165 aides,378 entreprises
Industrie manufacturière,4374754.84,2017,391,973,#AB47BC,"4,4 M€",2 017 aides,391 entreprises
"Activités spécialisées, scientifiques et techniques",4217561.00,1940,415,973,#FFA726,"4,2 M€",1 940 aides,415 entreprises
Transports et entreposage,3713880.60,1571,280,973,#26C6DA,"3,7 M€",1 571 aides,280 entreprises
Autres activités de services,2942409.00,1470,279,973,#5E35B1,"2,9 M€",1 470 aides,279 entreprises
"Arts, spectacles et activités récréatives",1974206.87,825,133,973,#8E24AA,"2,0 M€",825 aides,133 entreprises
Autres sections NAF,5736589.51,2792,630,973,#AAAAAA,"5,7 M€",2 792 aides,630 entreprises
Commerce,22323321.00,15502,5051,974,#29B6F6,"22,3 M€",15 502 aides,5 051 entreprises
Hébergement et restauration,18410223.81,11249,2402,974,#26A69A,"18,4 M€",11 249 aides,2 402 entreprises
Construction,11759533.00,7963,3200,974,#42A5F5,"11,8 M€",7 963 aides,3 200 entreprises
"Agriculture, sylviculture et pêche",7807864.00,5713,1723,974,#EF5350,"7,8 M€",5 713 aides,1 723 entreprises
Autres activités de services,7336612.55,5655,1949,974,#5E35B1,"7,3 M€",5 655 aides,1 949 entreprises
Santé humaine et action sociale,7619463.00,5391,2452,974,#E53935,"7,6 M€",5 391 aides,2 452 entreprises
"Activités spécialisées, scientifiques et techniques",7740837.00,5141,1754,974,#FFA726,"7,7 M€",5 141 aides,1 754 entreprises
Industrie manufacturière,6558232.00,4722,1618,974,#AB47BC,"6,6 M€",4 722 aides,1 618 entreprises
Enseignement,5678825.20,4311,1226,974,#00897B,"5,7 M€",4 311 aides,1 226 entreprises
"Arts, spectacles et activités récréatives",6714539.00,4236,860,974,#8E24AA,"6,7 M€",4 236 aides,860 entreprises
Autres sections NAF,14882783.00,9566,2959,974,#AAAAAA,"14,9 M€",9 566 aides,2 959 entreprises
Commerce,43851870.84,17817,2736,976,#29B6F6,"43,9 M€",17 817 aides,2 736 entreprises
"Agriculture, sylviculture et pêche",15534671.00,6564,1063,976,#EF5350,"15,5 M€",6 564 aides,1 063 entreprises
Construction,10076642.00,3906,658,976,#42A5F5,"10,1 M€",3 906 aides,658 entreprises
Transports et entreposage,9447150.00,3517,516,976,#26C6DA,"9,4 M€",3 517 aides,516 entreprises
Hébergement et restauration,4876030.05,1973,300,976,#26A69A,"4,9 M€",1 973 aides,300 entreprises
Industrie manufacturière,2755100.00,1174,197,976,#AB47BC,"2,8 M€",1 174 aides,197 entreprises
Activités de services administratifs et de soutien,1776846.00,698,116,976,#FF7043,"1,8 M€",698 aides,116 entreprises
"Activités spécialisées, scientifiques et techniques",1328929.00,612,125,976,#FFA726,"1,3 M€",612 aides,125 entreprises
Autres activités de services,1386225.00,603,110,976,#5E35B1,"1,4 M€",603 aides,110 entreprises
Enseignement,1068024.00,440,73,976,#00897B,"1,1 M€",440 aides,73 entreprises
Autres sections NAF,2271637.34,990,213,976,#AAAAAA,"2,3 M€",990 aides,213 entreprises
