libelle_cat_juridique,montant,nombre,nombre_siren,reg,color,montant_fr,nombre_fr,nombre_siren_fr
Entrepreneur individuel,142637312.49,113228,44555,53,#E53935,"142,6 M€",113 228 aides,44 555 entreprises
Société à responsabilité limitée (SARL),83112553.80,53445,20936,53,#FF8F00,"83,1 M€",53 445 aides,20 936 entreprises
Société par actions simplifiée,18186017.06,11416,4203,53,#6D4C41,"18,2 M€",11 416 aides,4 203 entreprises
Autres Catégories Juridiques,9082545.04,6184,2118,53,#AAAAAA,"9,1 M€",6 184 aides,2 118 entreprises
Entrepreneur individuel,350934984.80,278786,105947,75,#E53935,"350,9 M€",278 786 aides,105 947 entreprises
Société à responsabilité limitée (SARL),162108783.50,103562,40258,75,#FF8F00,"162,1 M€",103 562 aides,40 258 entreprises
Société par actions simplifiée,64785926.88,40999,14625,75,#6D4C41,"64,8 M€",40 999 aides,14 625 entreprises
Autres Catégories Juridiques,21397970.77,14306,5356,75,#AAAAAA,"21,4 M€",14 306 aides,5 356 entreprises
Entrepreneur individuel,398203580.79,315664,116714,76,#E53935,"398,2 M€",315 664 aides,116 714 entreprises
Société à responsabilité limitée (SARL),189152603.80,116245,43617,76,#FF8F00,"189,2 M€",116 245 aides,43 617 entreprises
Société par actions simplifiée,106108584.46,64763,22436,76,#6D4C41,"106,1 M€",64 763 aides,22 436 entreprises
Autres Catégories Juridiques,23366248.23,15437,5397,76,#AAAAAA,"23,4 M€",15 437 aides,5 397 entreprises
Entrepreneur individuel,505244470.17,387483,141607,84,#E53935,"505,2 M€",387 483 aides,141 607 entreprises
Société à responsabilité limitée (SARL),235970591.83,143213,54461,84,#FF8F00,"236,0 M€",143 213 aides,54 461 entreprises
Société par actions simplifiée,125867636.91,75645,26387,84,#6D4C41,"125,9 M€",75 645 aides,26 387 entreprises
Autres Catégories Juridiques,25555629.72,16483,5747,84,#AAAAAA,"25,6 M€",16 483 aides,5 747 entreprises
Entrepreneur individuel,410153059.28,314824,110308,93,#E53935,"410,2 M€",314 824 aides,110 308 entreprises
Société à responsabilité limitée (SARL),202726891.24,120498,43089,93,#FF8F00,"202,7 M€",120 498 aides,43 089 entreprises
Société par actions simplifiée,146299419.46,86060,27794,93,#6D4C41,"146,3 M€",86 060 aides,27 794 entreprises
Autres Catégories Juridiques,18519549.67,11696,3759,93,#AAAAAA,"18,5 M€",11 696 aides,3 759 entreprises
Entrepreneur individuel,33137411.35,24760,8726,94,#E53935,"33,1 M€",24 760 aides,8 726 entreprises
Société à responsabilité limitée (SARL),15812020.73,9499,3342,94,#FF8F00,"15,8 M€",9 499 aides,3 342 entreprises
Société par actions simplifiée,10731711.60,6526,2240,94,#6D4C41,"10,7 M€",6 526 aides,2 240 entreprises
Autres Catégories Juridiques,1840354.25,1190,368,94,#AAAAAA,"1,8 M€",1 190 aides,368 entreprises
Autres Catégories Juridiques,0,0,0,None,#AAAAAA,"0,0 M€",0 aides,0 entreprises
