libelle_section_naf,montant,nombre,nombre_siren,reg,color,montant_fr,nombre_fr,nombre_siren_fr
Enseignement,27758189.00,16755,2781,27,#00897B,"27,8 M€",16 755 aides,2 781 entreprises
Santé humaine et action sociale,17451410.00,13175,5283,27,#E53935,"17,5 M€",13 175 aides,5 283 entreprises
Industrie manufacturière,26701522.77,12475,3243,27,#AB47BC,"26,7 M€",12 475 aides,3 243 entreprises
Activités de services administratifs et de soutien,40684628.00,11212,2295,27,#FF7043,"40,7 M€",11 212 aides,2 295 entreprises
Autres sections NAF,90065946.60,31596,7751,27,#AAAAAA,"90,1 M€",31 596 aides,7 751 entreprises
Hébergement et restauration,506801258.81,85473,9410,28,#26A69A,"506,8 M€",85 473 aides,9 410 entreprises
Commerce,191864268.00,60241,13471,28,#29B6F6,"191,9 M€",60 241 aides,13 471 entreprises
Autres activités de services,74081453.35,38366,8754,28,#5E35B1,"74,1 M€",38 366 aides,8 754 entreprises
"Arts, spectacles et activités récréatives",114081784.24,29678,3752,28,#8E24AA,"114,1 M€",29 678 aides,3 752 entreprises
"Activités spécialisées, scientifiques et techniques",92258608.77,28402,5942,28,#FFA726,"92,3 M€",28 402 aides,5 942 entreprises
Construction,35674519.00,21881,8422,28,#42A5F5,"35,7 M€",21 881 aides,8 422 entreprises
Enseignement,27855006.00,15345,2710,28,#00897B,"27,9 M€",15 345 aides,2 710 entreprises
Santé humaine et action sociale,17372577.00,13285,5419,28,#E53935,"17,4 M€",13 285 aides,5 419 entreprises
Activités de services administratifs et de soutien,45603225.00,13217,2617,28,#FF7043,"45,6 M€",13 217 aides,2 617 entreprises
Transports et entreposage,31696721.72,11924,2162,28,#26C6DA,"31,7 M€",11 924 aides,2 162 entreprises
Autres sections NAF,80091982.79,34910,8596,28,#AAAAAA,"80,1 M€",34 910 aides,8 596 entreprises
Hébergement et restauration,736926278.57,127183,13507,32,#26A69A,"736,9 M€",127 183 aides,13 507 entreprises
Commerce,307161427.00,97731,21157,32,#29B6F6,"307,2 M€",97 731 aides,21 157 entreprises
Autres activités de services,114288364.06,62265,14055,32,#5E35B1,"114,3 M€",62 265 aides,14 055 entreprises
"Activités spécialisées, scientifiques et techniques",162355928.92,47884,9995,32,#FFA726,"162,4 M€",47 884 aides,9 995 entreprises
"Arts, spectacles et activités récréatives",181047561.01,45016,5336,32,#8E24AA,"181,0 M€",45 016 aides,5 336 entreprises
Transports et entreposage,81044943.78,37472,5304,32,#26C6DA,"81,0 M€",37 472 aides,5 304 entreprises
Construction,59714283.00,36870,13032,32,#42A5F5,"59,7 M€",36 870 aides,13 032 entreprises
Santé humaine et action sociale,37356529.00,26971,11392,32,#E53935,"37,4 M€",26 971 aides,11 392 entreprises
Enseignement,43694999.82,22077,4110,32,#00897B,"43,7 M€",22 077 aides,4 110 entreprises
Activités de services administratifs et de soutien,78713963.08,21271,4284,32,#FF7043,"78,7 M€",21 271 aides,4 284 entreprises
Autres sections NAF,131800403.62,51319,12393,32,#AAAAAA,"131,8 M€",51 319 aides,12 393 entreprises
Hébergement et restauration,874141824.20,137500,14106,44,#26A69A,"874,1 M€",137 500 aides,14 106 entreprises
Commerce,321349472.43,101059,22699,44,#29B6F6,"321,3 M€",101 059 aides,22 699 entreprises
Autres activités de services,131593283.53,65841,14847,44,#5E35B1,"131,6 M€",65 841 aides,14 847 entreprises
"Agriculture, sylviculture et pêche",275224375.65,53631,12968,44,#EF5350,"275,2 M€",53 631 aides,12 968 entreprises
"Activités spécialisées, scientifiques et techniques",140574335.53,49163,10629,44,#FFA726,"140,6 M€",49 163 aides,10 629 entreprises
"Arts, spectacles et activités récréatives",168450085.13,46304,5483,44,#8E24AA,"168,5 M€",46 304 aides,5 483 entreprises
Construction,72416378.79,45110,15882,44,#42A5F5,"72,4 M€",45 110 aides,15 882 entreprises
Enseignement,50052436.00,27290,4748,44,#00897B,"50,1 M€",27 290 aides,4 748 entreprises
Santé humaine et action sociale,36811209.00,26908,11151,44,#E53935,"36,8 M€",26 908 aides,11 151 entreprises
Industrie manufacturière,87730265.25,23347,5777,44,#AB47BC,"87,7 M€",23 347 aides,5 777 entreprises
Autres sections NAF,231940574.35,74998,14937,44,#AAAAAA,"231,9 M€",74 998 aides,14 937 entreprises
Hébergement et restauration,560487994.68,91859,9962,52,#26A69A,"560,5 M€",91 859 aides,9 962 entreprises
Commerce,205128557.00,63493,14546,52,#29B6F6,"205,1 M€",63 493 aides,14 546 entreprises
"Activités spécialisées, scientifiques et techniques",154517939.55,43594,9352,52,#FFA726,"154,5 M€",43 594 aides,9 352 entreprises
Autres activités de services,87358982.00,43247,10327,52,#5E35B1,"87,4 M€",43 247 aides,10 327 entreprises
"Arts, spectacles et activités récréatives",143794946.22,40328,5226,52,#8E24AA,"143,8 M€",40 328 aides,5 226 entreprises
Construction,38490327.00,24162,10130,52,#42A5F5,"38,5 M€",24 162 aides,10 130 entreprises
Santé humaine et action sociale,31499363.00,23859,9606,52,#E53935,"31,5 M€",23 859 aides,9 606 entreprises
Enseignement,38970391.00,19978,3607,52,#00897B,"39,0 M€",19 978 aides,3 607 entreprises
Transports et entreposage,41540943.00,15854,2497,52,#26C6DA,"41,5 M€",15 854 aides,2 497 entreprises
Industrie manufacturière,36680548.00,15831,4123,52,#AB47BC,"36,7 M€",15 831 aides,4 123 entreprises
Autres sections NAF,158713064.00,49785,11756,52,#AAAAAA,"158,7 M€",49 785 aides,11 756 entreprises
Hébergement et restauration,644989363.93,104785,11337,53,#26A69A,"645,0 M€",104 785 aides,11 337 entreprises
Commerce,199936243.00,57940,13296,53,#29B6F6,"199,9 M€",57 940 aides,13 296 entreprises
Autres activités de services,73102194.78,35457,8576,53,#5E35B1,"73,1 M€",35 457 aides,8 576 entreprises
"Activités spécialisées, scientifiques et techniques",124103332.79,34175,7500,53,#FFA726,"124,1 M€",34 175 aides,7 500 entreprises
"Arts, spectacles et activités récréatives",124053174.57,33476,4454,53,#8E24AA,"124,1 M€",33 476 aides,4 454 entreprises
Construction,33538843.00,21407,9068,53,#42A5F5,"33,5 M€",21 407 aides,9 068 entreprises
Santé humaine et action sociale,29092723.00,21386,8869,53,#E53935,"29,1 M€",21 386 aides,8 869 entreprises
Enseignement,32377042.00,17893,3156,53,#00897B,"32,4 M€",17 893 aides,3 156 entreprises
Industrie manufacturière,32915555.00,16872,4199,53,#AB47BC,"32,9 M€",16 872 aides,4 199 entreprises
Activités de services administratifs et de soutien,55006612.52,13377,2957,53,#FF7043,"55,0 M€",13 377 aides,2 957 entreprises
Autres sections NAF,121391836.00,36635,8422,53,#AAAAAA,"121,4 M€",36 635 aides,8 422 entreprises
Hébergement et restauration,1087645401.35,183593,20369,75,#26A69A,"1087,6 M€",183 593 aides,20 369 entreprises
Commerce,435249140.30,145385,32120,75,#29B6F6,"435,2 M€",145 385 aides,32 120 entreprises
Autres activités de services,158117023.71,85171,20048,75,#5E35B1,"158,1 M€",85 171 aides,20 048 entreprises
