libelle_section_naf,montant,nombre,dep,color,montant_fr,nombre_fr
Construction,2603775.00,2800.00,63,#42A5F5,"2,6 M€",2 800 aides
Commerce,2271501.00,2761.00,63,#29B6F6,"2,3 M€",2 761 aides
Hébergement et restauration,1143796.00,1364.00,63,#26A69A,"1,1 M€",1 364 aides
Industrie manufacturière,995986.00,1248.00,63,#AB47BC,"1,0 M€",1 248 aides
Autres activités de services,984129.00,1405.00,63,#5E35B1,"1,0 M€",1 405 aides
Non connu,572706.00,538.00,63,#AAAAAA,"0,6 M€",538 aides
Activités immobilières,402694.00,433.00,63,#FFCA28,"0,4 M€",433 aides
Transports et entreposage,397715.00,441.00,63,#26C6DA,"0,4 M€",441 aides
Activités de services administratifs et de soutien,273597.00,409.00,63,#FF7043,"0,3 M€",409 aides
"Activités spécialisées, scientifiques et techniques",235676.00,388.00,63,#FFA726,"0,2 M€",388 aides
Autres sections NAF,616542.00,910.00,63,#AAAAAA,"0,6 M€",910 aides
Construction,1040663.00,1138.00,18,#42A5F5,"1,0 M€",1 138 aides
Commerce,812744.00,1112.00,18,#29B6F6,"0,8 M€",1 112 aides
Autres activités de services,501896.00,684.00,18,#5E35B1,"0,5 M€",684 aides
Industrie manufacturière,430625.00,543.00,18,#AB47BC,"0,4 M€",543 aides
Hébergement et restauration,427687.00,505.00,18,#26A69A,"0,4 M€",505 aides
Non connu,350088.00,310.00,18,#AAAAAA,"0,4 M€",310 aides
Transports et entreposage,164601.00,154.00,18,#26C6DA,"0,2 M€",154 aides
Activités immobilières,116175.00,119.00,18,#FFCA28,"0,1 M€",119 aides
"Activités spécialisées, scientifiques et techniques",96868.00,141.00,18,#FFA726,"0,1 M€",141 aides
Activités de services administratifs et de soutien,93559.00,168.00,18,#FF7043,"0,1 M€",168 aides
Autres sections NAF,235969.00,354.00,18,#AAAAAA,"0,2 M€",354 aides
Commerce,1994065.00,2650.00,974,#29B6F6,"2,0 M€",2 650 aides
Construction,1290505.00,1572.00,974,#42A5F5,"1,3 M€",1 572 aides
Industrie manufacturière,742409.00,954.00,974,#AB47BC,"0,7 M€",954 aides
Hébergement et restauration,700173.00,972.00,974,#26A69A,"0,7 M€",972 aides
Autres activités de services,607436.00,934.00,974,#5E35B1,"0,6 M€",934 aides
Transports et entreposage,521754.00,562.00,974,#26C6DA,"0,5 M€",562 aides
Non connu,460729.00,468.00,974,#AAAAAA,"0,5 M€",468 aides
Activités de services administratifs et de soutien,341573.00,473.00,974,#FF7043,"0,3 M€",473 aides
"Activités spécialisées, scientifiques et techniques",233708.00,345.00,974,#FFA726,"0,2 M€",345 aides
Activités immobilières,211937.00,226.00,974,#FFCA28,"0,2 M€",226 aides
Autres sections NAF,636828.00,861.00,974,#AAAAAA,"0,6 M€",861 aides
Construction,2791363.00,2952.00,78,#42A5F5,"2,8 M€",2 952 aides
Commerce,2566882.00,3069.00,78,#29B6F6,"2,6 M€",3 069 aides
Non connu,1500633.00,1378.00,78,#AAAAAA,"1,5 M€",1 378 aides
Autres activités de services,1210439.00,1759.00,78,#5E35B1,"1,2 M€",1 759 aides
Transports et entreposage,1178856.00,1465.00,78,#26C6DA,"1,2 M€",1 465 aides
"Activités spécialisées, scientifiques et techniques",757988.00,1241.00,78,#FFA726,"0,8 M€",1 241 aides
Activités immobilières,756149.00,806.00,78,#FFCA28,"0,8 M€",806 aides
Industrie manufacturière,750503.00,1002.00,78,#AB47BC,"0,8 M€",1 002 aides
Activités de services administratifs et de soutien,705322.00,1039.00,78,#FF7043,"0,7 M€",1 039 aides
Hébergement et restauration,634007.00,693.00,78,#26A69A,"0,6 M€",693 aides
Autres sections NAF,1191932.00,1959.00,78,#AAAAAA,"1,2 M€",1 959 aides
Construction,1397514.00,1495.00,80,#42A5F5,"1,4 M€",1 495 aides
Commerce,1322372.00,1791.00,80,#29B6F6,"1,3 M€",1 791 aides
Hébergement et restauration,740923.00,853.00,80,#26A69A,"0,7 M€",853 aides
Autres activités de services,701046.00,1065.00,80,#5E35B1,"0,7 M€",1 065 aides
Industrie manufacturière,515220.00,620.00,80,#AB47BC,"0,5 M€",620 aides
Non connu,462460.00,429.00,80,#AAAAAA,"0,5 M€",429 aides
Activités immobilières,225562.00,245.00,80,#FFCA28,"0,2 M€",245 aides
Transports et entreposage,213158.00,239.00,80,#26C6DA,"0,2 M€",239 aides
Activités de services administratifs et de soutien,167297.00,282.00,80,#FF7043,"0,2 M€",282 aides
"Activités spécialisées, scientifiques et techniques",125852.00,202.00,80,#FFA726,"0,1 M€",202 aides
Autres sections NAF,421526.00,658.00,80,#AAAAAA,"0,4 M€",658 aides
Construction,910898.00,1192.00,2B,#42A5F5,"0,9 M€",1 192 aides
Commerce,616508.00,812.00,2B,#29B6F6,"0,6 M€",812 aides
Hébergement et restauration,399154.00,530.00,2B,#26A69A,"0,4 M€",530 aides
Industrie manufacturière,246312.00,375.00,2B,#AB47BC,"0,2 M€",375 aides
Autres activités de services,223776.00,418.00,2B,#5E35B1,"0,2 M€",418 aides
Transports et entreposage,135873.00,145.00,2B,#26C6DA,"0,1 M€",145 aides
Non connu,134187.00,120.00,2B,#AAAAAA,"0,1 M€",120 aides
Activités de services administratifs et de soutien,124196.00,236.00,2B,#FF7043,"0,1 M€",236 aides
Activités immobilières,86597.00,96.00,2B,#FFCA28,"0,1 M€",96 aides
"Activités spécialisées, scientifiques et techniques",57942.00,105.00,2B,#FFA726,"0,1 M€",105 aides
Autres sections NAF,103820.00,158.00,2B,#AAAAAA,"0,1 M€",158 aides
Construction,587094.00,626.00,52,#42A5F5,"0,6 M€",626 aides
Commerce,523443.00,686.00,52,#29B6F6,"0,5 M€",686 aides
Autres activités de services,269331.00,361.00,52,#5E35B1,"0,3 M€",361 aides
Industrie manufacturière,251605.00,298.00,52,#AB47BC,"0,3 M€",298 aides
Hébergement et restauration,193026.00,235.00,52,#26A69A,"0,2 M€",235 aides
Non connu,131686.00,125.00,52,#AAAAAA,"0,1 M€",125 aides
Transports et entreposage,84778.00,80.00,52,#26C6DA,"0,1 M€",80 aides
Activités immobilières,60102.00,69.00,52,#FFCA28,"0,1 M€",69 aides
"Activités spécialisées, scientifiques et techniques",50822.00,67.00,52,#FFA726,"0,1 M€",67 aides
Activités de services administratifs et de soutien,35365.00,68.00,52,#FF7043,"0,0 M€",68 aides
Autres sections NAF,124847.00,201.00,52,#AAAAAA,"0,1 M€",201 aides
Construction,2229184.00,2303.00,40,#42A5F5,"2,2 M€",2 303 aides
Commerce,1702901.00,2103.00,40,#29B6F6,"1,7 M€",2 103 aides
Hébergement et restauration,835375.00,995.00,40,#26A69A,"0,8 M€",995 aides
Autres activités de services,834533.00,1188.00,40,#5E35B1,"0,8 M€",1 188 aides
Industrie manufacturière,693944.00,886.00,40,#AB47BC,"0,7 M€",886 aides
Activités immobilières,412249.00,427.00,40,#FFCA28,"0,4 M€",427 aides
Non connu,333915.00,324.00,40,#AAAAAA,"0,3 M€",324 aides
Activités de services administratifs et de soutien,298604.00,493.00,40,#FF7043,"0,3 M€",493 aides
Transports et entreposage,221843.00,219.00,40,#26C6DA,"0,2 M€",219 aides
"Activités spécialisées, scientifiques et techniques",190313.00,314.00,40,#FFA726,"0,2 M€",314 aides
Autres sections NAF,490216.00,780.00,40,#AAAAAA,"0,5 M€",780 aides
Construction,1079656.00,1166.00,19,#42A5F5,"1,1 M€",1 166 aides
Commerce,867086.00,1050.00,19,#29B6F6,"0,9 M€",1 050 aides
Autres activités de services,436284.00,587.00,19,#5E35B1,"0,4 M€",587 aides
Hébergement et restauration,403773.00,529.00,19,#26A69A,"0,4 M€",529 aides
Industrie manufacturière,362866.00,484.00,19,#AB47BC,"0,4 M€",484 aides
Non connu,297441.00,272.00,19,#AAAAAA,"0,3 M€",272 aides
Activités immobilières,133258.00,155.00,19,#FFCA28,"0,1 M€",155 aides
Transports et entreposage,111942.00,108.00,19,#26C6DA,"0,1 M€",108 aides
Activités de services administratifs et de soutien,107393.00,173.00,19,#FF7043,"0,1 M€",173 aides
"Activités spécialisées, scientifiques et techniques",90141.00,145.00,19,#FFA726,"0,1 M€",145 aides
Autres sections NAF,233314.00,357.00,19,#AAAAAA,"0,2 M€",357 aides
Commerce,2091520.00,2547.00,68,#29B6F6,"2,1 M€",2 547 aides
Construction,1886770.00,1936.00,68,#42A5F5,"1,9 M€",1 936 aides
Autres activités de services,1001172.00,1488.00,68,#5E35B1,"1,0 M€",1 488 aides
Hébergement et restauration,883901.00,970.00,68,#26A69A,"0,9 M€",970 aides
Industrie manufacturière,735982.00,867.00,68,#AB47BC,"0,7 M€",867 aides
Non connu,611784.00,562.00,68,#AAAAAA,"0,6 M€",562 aides
Activités immobilières,376394.00,390.00,68,#FFCA28,"0,4 M€",390 aides
"Activités spécialisées, scientifiques et techniques",331047.00,480.00,68,#FFA726,"0,3 M€",480 aides
Activités de services administratifs et de soutien,297379.00,454.00,68,#FF7043,"0,3 M€",454 aides
Transports et entreposage,185374.00,196.00,68,#26C6DA,"0,2 M€",196 aides
Autres sections NAF,505670.00,837.00,68,#AAAAAA,"0,5 M€",837 aides
Construction,5888266.00,6161.00,38,#42A5F5,"5,9 M€",6 161 aides
Commerce,4277386.00,5161.00,38,#29B6F6,"4,3 M€",5 161 aides
Industrie manufacturière,1910702.00,2316.00,38,#AB47BC,"1,9 M€",2 316 aides
Autres activités de services,1866484.00,2677.00,38,#5E35B1,"1,9 M€",2 677 aides
Hébergement et restauration,1835777.00,2130.00,38,#26A69A,"1,8 M€",2 130 aides
Non connu,1377939.00,1273.00,38,#AAAAAA,"1,4 M€",1 273 aides
Activités de services administratifs et de soutien,974178.00,1473.00,38,#FF7043,"1,0 M€",1 473 aides
Activités immobilières,941461.00,1016.00,38,#FFCA28,"0,9 M€",1 016 aides
Transports et entreposage,767775.00,822.00,38,#26C6DA,"0,8 M€",822 aides
"Activités spécialisées, scientifiques et techniques",653513.00,1074.00,38,#FFA726,"0,7 M€",1 074 aides
Autres sections NAF,1400138.00,2208.00,38,#AAAAAA,"1,4 M€",2 208 aides
Construction,4820144.00,5233.00,31,#42A5F5,"4,8 M€",5 233 aides
Commerce,4028969.00,4992.00,31,#29B6F6,"4,0 M€",4 992 aides
Autres activités de services,1790626.00,2692.00,31,#5E35B1,"1,8 M€",2 692 aides
Industrie manufacturière,1433995.00,1807.00,31,#AB47BC,"1,4 M€",1 807 aides
Non connu,1412144.00,1358.00,31,#AAAAAA,"1,4 M€",1 358 aides
Hébergement et restauration,1374344.00,1646.00,31,#26A69A,"1,4 M€",1 646 aides
Activités immobilières,1064353.00,1109.00,31,#FFCA28,"1,1 M€",1 109 aides
Activités de services administratifs et de soutien,927868.00,1412.00,31,#FF7043,"0,9 M€",1 412 aides
Transports et entreposage,821988.00,985.00,31,#26C6DA,"0,8 M€",985 aides
"Activités spécialisées, scientifiques et techniques",718148.00,1169.00,31,#FFA726,"0,7 M€",1 169 aides
Autres sections NAF,1531548.00,2372.00,31,#AAAAAA,"1,5 M€",2 372 aides
Construction,2832883.00,2902.00,73,#42A5F5,"2,8 M€",2 902 aides
Commerce,2050409.00,2299.00,73,#29B6F6,"2,1 M€",2 299 aides
Hébergement et restauration,1458928.00,1585.00,73,#26A69A,"1,5 M€",1 585 aides
Industrie manufacturière,854100.00,988.00,73,#AB47BC,"0,9 M€",988 aides
Autres activités de services,837049.00,1151.00,73,#5E35B1,"0,8 M€",1 151 aides
Activités immobilières,818810.00,843.00,73,#FFCA28,"0,8 M€",843 aides
Non connu,637495.00,609.00,73,#AAAAAA,"0,6 M€",609 aides
Activités de services administratifs et de soutien,503433.00,686.00,73,#FF7043,"0,5 M€",686 aides
Transports et entreposage,410753.00,434.00,73,#26C6DA,"0,4 M€",434 aides
"Activités spécialisées, scientifiques et techniques",337463.00,475.00,73,#FFA726,"0,3 M€",475 aides
Autres sections NAF,679312.00,972.00,73,#AAAAAA,"0,7 M€",972 aides
Construction,697005.00,826.00,09,#42A5F5,"0,7 M€",826 aides
Commerce,500123.00,676.00,09,#29B6F6,"0,5 M€",676 aides
Hébergement et restauration,231365.00,332.00,09,#26A69A,"0,2 M€",332 aides
Autres activités de services,231235.00,364.00,09,#5E35B1,"0,2 M€",364 aides
Industrie manufacturière,217372.00,335.00,09,#AB47BC,"0,2 M€",335 aides
Non connu,204404.00,197.00,09,#AAAAAA,"0,2 M€",197 aides
Activités immobilières,83234.00,95.00,09,#FFCA28,"0,1 M€",95 aides
Activités de services administratifs et de soutien,55971.00,98.00,09,#FF7043,"0,1 M€",98 aides
Transports et entreposage,55853.00,56.00,09,#26C6DA,"0,1 M€",56 aides
"Activités spécialisées, scientifiques et techniques",42761.00,75.00,09,#FFA726,"0,0 M€",75 aides
Autres sections NAF,128849.00,217.00,09,#AAAAAA,"0,1 M€",217 aides
Commerce,3108298.00,3830.00,67,#29B6F6,"3,1 M€",3 830 aides
Construction,2875207.00,2979.00,67,#42A5F5,"2,9 M€",2 979 aides
Autres activités de services,1472867.00,2123.00,67,#5E35B1,"1,5 M€",2 123 aides
Hébergement et restauration,1377386.00,1517.00,67,#26A69A,"1,4 M€",1 517 aides
Industrie manufacturière,1311669.00,1559.00,67,#AB47BC,"1,3 M€",1 559 aides
Activités immobilières,812183.00,829.00,67,#FFCA28,"0,8 M€",829 aides
Non connu,700481.00,661.00,67,#AAAAAA,"0,7 M€",661 aides
"Activités spécialisées, scientifiques et techniques",617513.00,875.00,67,#FFA726,"0,6 M€",875 aides
Activités de services administratifs et de soutien,547124.00,766.00,67,#FF7043,"0,5 M€",766 aides
Transports et entreposage,507121.00,634.00,67,#26C6DA,"0,5 M€",634 aides
Autres sections NAF,1132985.00,1645.00,67,#AAAAAA,"1,1 M€",1 645 aides
Construction,2478048.00,2571.00,27,#42A5F5,"2,5 M€",2 571 aides
Commerce,1692846.00,2108.00,27,#29B6F6,"1,7 M€",2 108 aides
Autres activités de services,873609.00,1267.00,27,#5E35B1,"0,9 M€",1 267 aides
Industrie manufacturière,829517.00,939.00,27,#AB47BC,"0,8 M€",939 aides
Hébergement et restauration,633142.00,744.00,27,#26A69A,"0,6 M€",744 aides
Transports et entreposage,389276.00,376.00,27,#26C6DA,"0,4 M€",376 aides
Non connu,323379.00,307.00,27,#AAAAAA,"0,3 M€",307 aides
Activités immobilières,249836.00,275.00,27,#FFCA28,"0,2 M€",275 aides
Activités de services administratifs et de soutien,241852.00,401.00,27,#FF7043,"0,2 M€",401 aides
"Activités spécialisées, scientifiques et techniques",191699.00,289.00,27,#FFA726,"0,2 M€",289 aides
Autres sections NAF,498591.00,787.00,27,#AAAAAA,"0,5 M€",787 aides
Construction,1698321.00,1789.00,81,#42A5F5,"1,7 M€",1 789 aides
Commerce,1508875.00,1813.00,81,#29B6F6,"1,5 M€",1 813 aides
Industrie manufacturière,725254.00,884.00,81,#AB47BC,"0,7 M€",884 aides
Autres activités de services,693333.00,999.00,81,#5E35B1,"0,7 M€",999 aides
Non connu,561890.00,526.00,81,#AAAAAA,"0,6 M€",526 aides
Hébergement et restauration,417598.00,524.00,81,#26A69A,"0,4 M€",524 aides
Activités immobilières,257526.00,274.00,81,#FFCA28,"0,3 M€",274 aides
Activités de services administratifs et de soutien,174394.00,296.00,81,#FF7043,"0,2 M€",296 aides
Transports et entreposage,159564.00,163.00,81,#26C6DA,"0,2 M€",163 aides
