mois,nombre_demandes_deposees,nombre_heures_demandees,nombre_salaries_concernes,libelle,reg,color,nombre_demandes_deposees_fr,nombre_heures_demandees_fr,nombre_salaries_concernes_fr
2020-03,18420.0,5723790.0,105860.0,Hébergement et restauration,84,#388E3C,18 420 demandes,5 723 790 heures,105 860 salariés
2020-04,19315.0,13038655.0,112765.0,Hébergement et restauration,84,#388E3C,19 315 demandes,13 038 655 heures,112 765 salariés
2020-05,17415.0,8276485.0,90090.0,Hébergement et restauration,84,#388E3C,17 415 demandes,8 276 485 heures,90 090 salariés
2020-06,11140.0,3335155.0,51755.0,Hébergement et restauration,84,#388E3C,11 140 demandes,3 335 155 heures,51 755 salariés
2020-07,7585.0,1864375.0,30895.0,Hébergement et restauration,84,#388E3C,7 585 demandes,1 864 375 heures,30 895 salariés
2020-08,4965.0,1002585.0,18755.0,Hébergement et restauration,84,#388E3C,4 965 demandes,1 002 585 heures,18 755 salariés
2020-09,5785.0,1112625.0,21780.0,Hébergement et restauration,84,#388E3C,5 785 demandes,1 112 625 heures,21 780 salariés
2020-10,11545.0,1984315.0,50300.0,Hébergement et restauration,84,#388E3C,11 545 demandes,1 984 315 heures,50 300 salariés
2020-11,15810.0,7062625.0,77100.0,Hébergement et restauration,84,#388E3C,15 810 demandes,7 062 625 heures,77 100 salariés
2020-12,17445.0,8137545.0,81565.0,Hébergement et restauration,84,#388E3C,17 445 demandes,8 137 545 heures,81 565 salariés
2021-01,12380.0,5510305.0,58390.0,Hébergement et restauration,84,#388E3C,12 380 demandes,5 510 305 heures,58 390 salariés
2020-03,30465.0,7743560.0,153750.0,Commerce,84,#006064,30 465 demandes,7 743 560 heures,153 750 salariés
2020-04,34245.0,20209785.0,190375.0,Commerce,84,#006064,34 245 demandes,20 209 785 heures,190 375 salariés
2020-05,30795.0,7983385.0,151395.0,Commerce,84,#006064,30 795 demandes,7 983 385 heures,151 395 salariés
2020-06,12005.0,2402195.0,45585.0,Commerce,84,#006064,12 005 demandes,2 402 195 heures,45 585 salariés
2020-07,5710.0,1008195.0,19755.0,Commerce,84,#006064,5 710 demandes,1 008 195 heures,19 755 salariés
2020-08,2815.0,438200.0,9480.0,Commerce,84,#006064,2 815 demandes,438 200 heures,9 480 salariés
2020-09,2650.0,477670.0,9640.0,Commerce,84,#006064,2 650 demandes,477 670 heures,9 640 salariés
2020-10,7510.0,594160.0,24935.0,Commerce,84,#006064,7 510 demandes,594 160 heures,24 935 salariés
2020-11,15720.0,5109665.0,68160.0,Commerce,84,#006064,15 720 demandes,5 109 665 heures,68 160 salariés
2020-12,7200.0,1605375.0,26815.0,Commerce,84,#006064,7 200 demandes,1 605 375 heures,26 815 salariés
2021-01,4730.0,936850.0,15895.0,Commerce,84,#006064,4 730 demandes,936 850 heures,15 895 salariés
2020-03,16865.0,5178000.0,132945.0,Act. scientif. et tech. ; services admin. et de soutien,84,#FF8F00,16 865 demandes,5 178 000 heures,132 945 salariés
2020-04,20440.0,13016320.0,160470.0,Act. scientif. et tech. ; services admin. et de soutien,84,#FF8F00,20 440 demandes,13 016 320 heures,160 470 salariés
2020-05,18500.0,6860485.0,126865.0,Act. scientif. et tech. ; services admin. et de soutien,84,#FF8F00,18 500 demandes,6 860 485 heures,126 865 salariés
2020-06,9715.0,3255840.0,55985.0,Act. scientif. et tech. ; services admin. et de soutien,84,#FF8F00,9 715 demandes,3 255 840 heures,55 985 salariés
2020-07,5925.0,1834455.0,32045.0,Act. scientif. et tech. ; services admin. et de soutien,84,#FF8F00,5 925 demandes,1 834 455 heures,32 045 salariés
2020-08,3775.0,903030.0,18680.0,Act. scientif. et tech. ; services admin. et de soutien,84,#FF8F00,3 775 demandes,903 030 heures,18 680 salariés
2020-09,3675.0,1153790.0,19845.0,Act. scientif. et tech. ; services admin. et de soutien,84,#FF8F00,3 675 demandes,1 153 790 heures,19 845 salariés
2020-10,3440.0,985780.0,17705.0,Act. scientif. et tech. ; services admin. et de soutien,84,#FF8F00,3 440 demandes,985 780 heures,17 705 salariés
2020-11,5765.0,1964345.0,30925.0,Act. scientif. et tech. ; services admin. et de soutien,84,#FF8F00,5 765 demandes,1 964 345 heures,30 925 salariés
2020-12,5025.0,1599745.0,24075.0,Act. scientif. et tech. ; services admin. et de soutien,84,#FF8F00,5 025 demandes,1 599 745 heures,24 075 salariés
2021-01,2725.0,821210.0,12105.0,Act. scientif. et tech. ; services admin. et de soutien,84,#FF8F00,2 725 demandes,821 210 heures,12 105 salariés
2020-03,13180.0,2443935.0,54210.0,Autres activités de services,84,#F4511E,13 180 demandes,2 443 935 heures,54 210 salariés
2020-04,15335.0,6138660.0,65170.0,Autres activités de services,84,#F4511E,15 335 demandes,6 138 660 heures,65 170 salariés
2020-05,14680.0,3267070.0,59775.0,Autres activités de services,84,#F4511E,14 680 demandes,3 267 070 heures,59 775 salariés
2020-06,7140.0,1541685.0,30250.0,Autres activités de services,84,#F4511E,7 140 demandes,1 541 685 heures,30 250 salariés
2020-07,3835.0,705320.0,14665.0,Autres activités de services,84,#F4511E,3 835 demandes,705 320 heures,14 665 salariés
2020-08,2100.0,320600.0,7245.0,Autres activités de services,84,#F4511E,2 100 demandes,320 600 heures,7 245 salariés
2020-09,2255.0,327435.0,7740.0,Autres activités de services,84,#F4511E,2 255 demandes,327 435 heures,7 740 salariés
2020-10,7195.0,703065.0,22405.0,Autres activités de services,84,#F4511E,7 195 demandes,703 065 heures,22 405 salariés
2020-11,12560.0,3354350.0,43085.0,Autres activités de services,84,#F4511E,12 560 demandes,3 354 350 heures,43 085 salariés
2020-12,7275.0,1759700.0,28675.0,Autres activités de services,84,#F4511E,7 275 demandes,1 759 700 heures,28 675 salariés
2021-01,4715.0,1131795.0,18745.0,Autres activités de services,84,#F4511E,4 715 demandes,1 131 795 heures,18 745 salariés
2020-03,7235.0,3864435.0,88655.0,Fabrication d'autres produits indus.,84,#5C6BC0,7 235 demandes,3 864 435 heures,88 655 salariés
2020-04,8325.0,9983960.0,115895.0,Fabrication d'autres produits indus.,84,#5C6BC0,8 325 demandes,9 983 960 heures,115 895 salariés
2020-05,7770.0,4871735.0,91535.0,Fabrication d'autres produits indus.,84,#5C6BC0,7 770 demandes,4 871 735 heures,91 535 salariés
2020-06,4585.0,2533540.0,54470.0,Fabrication d'autres produits indus.,84,#5C6BC0,4 585 demandes,2 533 540 heures,54 470 salariés
2020-07,3065.0,1558245.0,36845.0,Fabrication d'autres produits indus.,84,#5C6BC0,3 065 demandes,1 558 245 heures,36 845 salariés
2020-08,1605.0,484865.0,15835.0,Fabrication d'autres produits indus.,84,#5C6BC0,1 605 demandes,484 865 heures,15 835 salariés
2020-09,1960.0,948005.0,23220.0,Fabrication d'autres produits indus.,84,#5C6BC0,1 960 demandes,948 005 heures,23 220 salariés
2020-10,1760.0,741945.0,19115.0,Fabrication d'autres produits indus.,84,#5C6BC0,1 760 demandes,741 945 heures,19 115 salariés
2020-11,2405.0,944030.0,22225.0,Fabrication d'autres produits indus.,84,#5C6BC0,2 405 demandes,944 030 heures,22 225 salariés
2020-12,2005.0,741140.0,18410.0,Fabrication d'autres produits indus.,84,#5C6BC0,2 005 demandes,741 140 heures,18 410 salariés
2021-01,1050.0,345745.0,7745.0,Fabrication d'autres produits indus.,84,#5C6BC0,1 050 demandes,345 745 heures,7 745 salariés
2020-03,25855.0,8034845.0,195700.0,Autres sections NACE 17,84,#AAAAAA,25 855 demandes,8 034 845 heures,195 700 salariés
2020-04,31345.0,21823460.0,268080.0,Autres sections NACE 17,84,#AAAAAA,31 345 demandes,21 823 460 heures,268 080 salariés
2020-05,29715.0,11373560.0,224950.0,Autres sections NACE 17,84,#AAAAAA,29 715 demandes,11 373 560 heures,224 950 salariés
2020-06,13645.0,4877115.0,97210.0,Autres sections NACE 17,84,#AAAAAA,13 645 demandes,4 877 115 heures,97 210 salariés
2020-07,7465.0,2408360.0,50655.0,Autres sections NACE 17,84,#AAAAAA,7 465 demandes,2 408 360 heures,50 655 salariés
2020-08,4080.0,1131695.0,26440.0,Autres sections NACE 17,84,#AAAAAA,4 080 demandes,1 131 695 heures,26 440 salariés
2020-09,3720.0,1228855.0,27155.0,Autres sections NACE 17,84,#AAAAAA,3 720 demandes,1 228 855 heures,27 155 salariés
2020-10,3995.0,977680.0,23555.0,Autres sections NACE 17,84,#AAAAAA,3 995 demandes,977 680 heures,23 555 salariés
2020-11,9605.0,2650740.0,45665.0,Autres sections NACE 17,84,#AAAAAA,9 605 demandes,2 650 740 heures,45 665 salariés
2020-12,7065.0,2506280.0,41160.0,Autres sections NACE 17,84,#AAAAAA,7 065 demandes,2 506 280 heures,41 160 salariés
2021-01,3665.0,1906015.0,23580.0,Autres sections NACE 17,84,#AAAAAA,3 665 demandes,1 906 015 heures,23 580 salariés
2020-03,4910.0,1327905.0,24370.0,Hébergement et restauration,27,#388E3C,4 910 demandes,1 327 905 heures,24 370 salariés
2020-04,5210.0,3243395.0,26305.0,Hébergement et restauration,27,#388E3C,5 210 demandes,3 243 395 heures,26 305 salariés
2020-05,5010.0,2386575.0,25125.0,Hébergement et restauration,27,#388E3C,5 010 demandes,2 386 575 heures,25 125 salariés
2020-06,3370.0,941270.0,16125.0,Hébergement et restauration,27,#388E3C,3 370 demandes,941 270 heures,16 125 salariés
2020-07,2100.0,421760.0,8295.0,Hébergement et restauration,27,#388E3C,2 100 demandes,421 760 heures,8 295 salariés
2020-08,1335.0,212715.0,4465.0,Hébergement et restauration,27,#388E3C,1 335 demandes,212 715 heures,4 465 salariés
2020-09,1675.0,240840.0,5690.0,Hébergement et restauration,27,#388E3C,1 675 demandes,240 840 heures,5 690 salariés
2020-10,3200.0,387845.0,13190.0,Hébergement et restauration,27,#388E3C,3 200 demandes,387 845 heures,13 190 salariés
2020-11,4560.0,2082935.0,22010.0,Hébergement et restauration,27,#388E3C,4 560 demandes,2 082 935 heures,22 010 salariés
2020-12,5255.0,2203620.0,23780.0,Hébergement et restauration,27,#388E3C,5 255 demandes,2 203 620 heures,23 780 salariés
2021-01,3470.0,1510810.0,15470.0,Hébergement et restauration,27,#388E3C,3 470 demandes,1 510 810 heures,15 470 salariés
2020-03,9420.0,2280940.0,45830.0,Commerce,27,#006064,9 420 demandes,2 280 940 heures,45 830 salariés
2020-04,10670.0,6025580.0,56795.0,Commerce,27,#006064,10 670 demandes,6 025 580 heures,56 795 salariés
2020-05,9830.0,2296660.0,44885.0,Commerce,27,#006064,9 830 demandes,2 296 660 heures,44 885 salariés
2020-06,3490.0,600395.0,11665.0,Commerce,27,#006064,3 490 demandes,600 395 heures,11 665 salariés
2020-07,1555.0,230365.0,4430.0,Commerce,27,#006064,1 555 demandes,230 365 heures,4 430 salariés
2020-08,740.0,104970.0,2025.0,Commerce,27,#006064,740 demandes,104 970 heures,2 025 salariés
2020-09,745.0,102015.0,2155.0,Commerce,27,#006064,745 demandes,102 015 heures,2 155 salariés
