libelle_section_naf,montant,nombre,reg,color,montant_fr,nombre_fr
Construction,22590987.00,25954.00,93,#42A5F5,"22,6 M€",25 954 aides
Commerce,20305776.00,26546.00,93,#29B6F6,"20,3 M€",26 546 aides
Hébergement et restauration,8266550.00,9977.00,93,#26A69A,"8,3 M€",9 977 aides
Autres activités de services,7794161.00,12821.00,93,#5E35B1,"7,8 M€",12 821 aides
Industrie manufacturière,6636369.00,8763.00,93,#AB47BC,"6,6 M€",8 763 aides
Non connu,5651243.00,5455.00,93,#AAAAAA,"5,7 M€",5 455 aides
Activités de services administratifs et de soutien,4841334.00,7478.00,93,#FF7043,"4,8 M€",7 478 aides
Activités immobilières,4547322.00,5022.00,93,#FFCA28,"4,5 M€",5 022 aides
Transports et entreposage,3728703.00,4289.00,93,#26C6DA,"3,7 M€",4 289 aides
"Activités spécialisées, scientifiques et techniques",3004815.00,4732.00,93,#FFA726,"3,0 M€",4 732 aides
Autres sections NAF,5410531.00,8506.00,93,#AAAAAA,"5,4 M€",8 506 aides
Construction,1830604.00,2328.00,94,#42A5F5,"1,8 M€",2 328 aides
Commerce,1251846.00,1587.00,94,#29B6F6,"1,3 M€",1 587 aides
Hébergement et restauration,872569.00,1068.00,94,#26A69A,"0,9 M€",1 068 aides
Industrie manufacturière,439804.00,673.00,94,#AB47BC,"0,4 M€",673 aides
Autres activités de services,423809.00,775.00,94,#5E35B1,"0,4 M€",775 aides
Activités de services administratifs et de soutien,284227.00,497.00,94,#FF7043,"0,3 M€",497 aides
Non connu,264379.00,245.00,94,#AAAAAA,"0,3 M€",245 aides
Transports et entreposage,204554.00,228.00,94,#26C6DA,"0,2 M€",228 aides
Activités immobilières,195924.00,223.00,94,#FFCA28,"0,2 M€",223 aides
"Activités spécialisées, scientifiques et techniques",135098.00,229.00,94,#FFA726,"0,1 M€",229 aides
Autres sections NAF,211942.00,333.00,94,#AAAAAA,"0,2 M€",333 aides
Commerce,22937568.00,29570.00,11,#29B6F6,"22,9 M€",29 570 aides
Construction,19236872.00,21535.00,11,#42A5F5,"19,2 M€",21 535 aides
Non connu,13079291.00,12163.00,11,#AAAAAA,"13,1 M€",12 163 aides
Transports et entreposage,13019726.00,18308.00,11,#26C6DA,"13,0 M€",18 308 aides
Autres activités de services,8649117.00,13240.00,11,#5E35B1,"8,6 M€",13 240 aides
"Activités spécialisées, scientifiques et techniques",8120853.00,13626.00,11,#FFA726,"8,1 M€",13 626 aides
Hébergement et restauration,7166094.00,7913.00,11,#26A69A,"7,2 M€",7 913 aides
Industrie manufacturière,6534450.00,8721.00,11,#AB47BC,"6,5 M€",8 721 aides
Activités immobilières,5906900.00,6181.00,11,#FFCA28,"5,9 M€",6 181 aides
Activités de services administratifs et de soutien,5622758.00,8484.00,11,#FF7043,"5,6 M€",8 484 aides
Autres sections NAF,12183589.00,19448.00,11,#AAAAAA,"12,2 M€",19 448 aides
Construction,15428852.00,15012.00,52,#42A5F5,"15,4 M€",15 012 aides
Commerce,12664106.00,14461.00,52,#29B6F6,"12,7 M€",14 461 aides
Non connu,6170890.00,5599.00,52,#AAAAAA,"6,2 M€",5 599 aides
Autres activités de services,6078126.00,7734.00,52,#5E35B1,"6,1 M€",7 734 aides
Hébergement et restauration,5959967.00,6495.00,52,#26A69A,"6,0 M€",6 495 aides
Industrie manufacturière,5879702.00,6683.00,52,#AB47BC,"5,9 M€",6 683 aides
Activités immobilières,2882281.00,2965.00,52,#FFCA28,"2,9 M€",2 965 aides
Transports et entreposage,1834476.00,1871.00,52,#26C6DA,"1,8 M€",1 871 aides
"Activités spécialisées, scientifiques et techniques",1770578.00,2548.00,52,#FFA726,"1,8 M€",2 548 aides
Activités de services administratifs et de soutien,1736488.00,2412.00,52,#FF7043,"1,7 M€",2 412 aides
Autres sections NAF,4283636.00,6021.00,52,#AAAAAA,"4,3 M€",6 021 aides
Commerce,1994065.00,2650.00,04,#29B6F6,"2,0 M€",2 650 aides
Construction,1290505.00,1572.00,04,#42A5F5,"1,3 M€",1 572 aides
Industrie manufacturière,742409.00,954.00,04,#AB47BC,"0,7 M€",954 aides
Hébergement et restauration,700173.00,972.00,04,#26A69A,"0,7 M€",972 aides
Autres activités de services,607436.00,934.00,04,#5E35B1,"0,6 M€",934 aides
Transports et entreposage,521754.00,562.00,04,#26C6DA,"0,5 M€",562 aides
